delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7902157331867107,0.7337461300309598,8016,2.4071609675013753e-06
0.0,1,0.7904666040672466,0.7337461300309598,8016,2.4071609675013753e-06
0.0,2,0.7904860733211261,0.7327141382868937,8016,2.4071609675013753e-06
0.0,3,0.7908435135811682,0.7337461300309598,8016,2.4071609675013753e-06
0.0,4,0.7912497150688074,0.7316821465428277,8016,2.4071609675013753e-06
0.0,5,0.78841896349056,0.7327141382868937,8016,2.4071609675013753e-06
0.0,6,0.7919136063619663,0.7347781217750258,8016,2.4071609675013753e-06
0.0,7,0.7916589751069975,0.7337461300309598,8016,2.4071609675013753e-06
0.0,8,0.7917873723212444,0.7347781217750258,8016,2.4071609675013753e-06
0.0,9,0.7905491401753406,0.7337461300309598,8016,2.4071609675013753e-06
0.0,10,0.7891806900447879,0.7306501547987616,8016,2.4071609675013753e-06
0.0,11,0.7911025538433656,0.7306501547987616,8016,2.4071609675013753e-06
0.0,12,0.7915889870523213,0.7327141382868937,8016,2.4071609675013753e-06
0.0,13,0.7909056019203717,0.7337461300309598,8016,2.4071609675013753e-06
0.0,14,0.7905916550133455,0.7316821465428277,8016,2.4071609675013753e-06
0.0,15,0.7914964559865063,0.7347781217750258,8016,2.4071609675013753e-06
0.0,16,0.7913175744224556,0.7347781217750258,8016,2.4071609675013753e-06
0.0,17,0.7941388299659136,0.7327141382868937,8016,2.4071609675013753e-06
0.0,18,0.7919284482847333,0.7316821465428277,8016,2.4071609675013753e-06
0.0,19,0.7885695768830646,0.7337461300309598,8016,2.4071609675013753e-06
0.0,20,0.7880372089578949,0.7347781217750258,8016,2.4071609675013753e-06
0.0,21,0.7917384183015373,0.7327141382868937,8016,2.4071609675013753e-06
0.0,22,0.7906366974728135,0.7327141382868937,8016,2.4071609675013753e-06
0.0,23,0.7874883021916851,0.7327141382868937,8016,2.4071609675013753e-06
0.0,24,0.7929856306028397,0.7337461300309598,8016,2.4071609675013753e-06
0.0,25,0.7923675658236911,0.7306501547987616,8016,2.4071609675013753e-06
0.0,26,0.7921794695032712,0.7327141382868937,8016,2.4071609675013753e-06
0.0,27,0.7907631224140674,0.7327141382868937,8016,2.4071609675013753e-06
0.0,28,0.7935034233748816,0.7347781217750258,8016,2.4071609675013753e-06
0.0,29,0.792926854709101,0.7316821465428277,8016,2.4071609675013753e-06
0.1,0,0.7870511891481562,0.7358101135190919,7214,5.3977161910747134e-05
0.1,1,0.7864799771156543,0.7337461300309598,7214,5.3977161910747134e-05
0.1,2,0.7836758023341678,0.7296181630546955,7214,5.3977161910747134e-05
0.1,3,0.8118904137545032,0.7296181630546955,7214,5.3977161910747134e-05
0.1,4,0.792208610818904,0.7327141382868937,7214,5.3977161910747134e-05
0.1,5,0.7881184463743106,0.7368421052631579,7214,5.3977161910747134e-05
0.1,6,0.7862414246974494,0.7316821465428277,7214,5.3977161910747134e-05
0.1,7,0.800002990865983,0.7275541795665634,7214,5.3977161910747134e-05
0.1,8,0.7865558160897459,0.7347781217750258,7214,5.3977161910747134e-05
0.1,9,0.7863182069030161,0.7285861713106295,7214,5.3977161910747134e-05
0.1,10,0.7917889369252114,0.7347781217750258,7214,5.3977161910747134e-05
0.1,11,0.785996836783745,0.7316821465428277,7214,5.3977161910747134e-05
0.1,12,0.787889807625747,0.7316821465428277,7214,5.3977161910747134e-05
0.1,13,0.7865832859271248,0.7296181630546955,7214,5.3977161910747134e-05
0.1,14,0.7966022727174824,0.7316821465428277,7214,5.3977161910747134e-05
0.1,15,0.7977165514458654,0.7316821465428277,7214,5.3977161910747134e-05
0.1,16,0.8046674729015504,0.7337461300309598,7214,5.3977161910747134e-05
0.1,17,0.7889386739152239,0.7358101135190919,7214,5.3977161910747134e-05
0.1,18,0.7921502815532264,0.737874097007224,7214,5.3977161910747134e-05
0.1,19,0.8034350233461464,0.7337461300309598,7214,5.3977161910747134e-05
0.1,20,0.8031945438862249,0.7358101135190919,7214,5.3977161910747134e-05
0.1,21,0.7865701127295891,0.739938080495356,7214,5.3977161910747134e-05
0.1,22,0.8078913385765194,0.7358101135190919,7214,5.3977161910747134e-05
0.1,23,0.7978119142690274,0.7316821465428277,7214,5.3977161910747134e-05
0.1,24,0.7900882770540851,0.7389060887512899,7214,5.3977161910747134e-05
0.1,25,0.7914029068576509,0.7316821465428277,7214,5.3977161910747134e-05
0.1,26,0.7964947090716132,0.7347781217750258,7214,5.3977161910747134e-05
0.1,27,0.7939442190322522,0.7296181630546955,7214,5.3977161910747134e-05
0.1,28,0.7923141194701986,0.7296181630546955,7214,5.3977161910747134e-05
0.1,29,0.7900320455043656,0.7327141382868937,7214,5.3977161910747134e-05
0.2,0,0.7921925092907245,0.7316821465428277,6412,7.561133073265766e-05
0.2,1,0.7919234942063796,0.7337461300309598,6412,7.561133073265766e-05
0.2,2,0.7872846826506275,0.7368421052631579,6412,7.561133073265766e-05
0.2,3,0.79244916214397,0.7347781217750258,6412,7.561133073265766e-05
0.2,4,0.8073105808710179,0.7347781217750258,6412,7.561133073265766e-05
0.2,5,0.8160188065932182,0.7275541795665634,6412,7.561133073265766e-05
0.2,6,0.7814472893389339,0.7337461300309598,6412,7.561133073265766e-05
0.2,7,0.7921480913139596,0.7275541795665634,6412,7.561133073265766e-05
0.2,8,0.8036782989786733,0.7337461300309598,6412,7.561133073265766e-05
0.2,9,0.7953898643954305,0.7306501547987616,6412,7.561133073265766e-05
0.2,10,0.7978290214390109,0.7327141382868937,6412,7.561133073265766e-05
0.2,11,0.7955172752869225,0.7306501547987616,6412,7.561133073265766e-05
0.2,12,0.7819158963239407,0.7358101135190919,6412,7.561133073265766e-05
0.2,13,0.786254638755566,0.7347781217750258,6412,7.561133073265766e-05
0.2,14,0.8111000443870497,0.7358101135190919,6412,7.561133073265766e-05
0.2,15,0.7897758437081532,0.7327141382868937,6412,7.561133073265766e-05
0.2,16,0.7881653122681643,0.7275541795665634,6412,7.561133073265766e-05
0.2,17,0.7794711305544711,0.7327141382868937,6412,7.561133073265766e-05
0.2,18,0.7805654143951887,0.7296181630546955,6412,7.561133073265766e-05
0.2,19,0.7973934146803611,0.7347781217750258,6412,7.561133073265766e-05
0.2,20,0.7924634899888676,0.7285861713106295,6412,7.561133073265766e-05
0.2,21,0.7999072434363996,0.7306501547987616,6412,7.561133073265766e-05
0.2,22,0.7937851457724631,0.7306501547987616,6412,7.561133073265766e-05
0.2,23,0.7912983645036195,0.7296181630546955,6412,7.561133073265766e-05
0.2,24,0.7976129212983256,0.7285861713106295,6412,7.561133073265766e-05
0.2,25,0.7882978622734049,0.7358101135190919,6412,7.561133073265766e-05
0.2,26,0.7937298242159019,0.7316821465428277,6412,7.561133073265766e-05
0.2,27,0.8019367564509606,0.7368421052631579,6412,7.561133073265766e-05
0.2,28,0.7865269040865194,0.7265221878224974,6412,7.561133073265766e-05
0.2,29,0.7867361073479976,0.7327141382868937,6412,7.561133073265766e-05
0.3,0,0.7936438917301804,0.7316821465428277,5611,0.00011114785407580365
0.3,1,0.7901463069586709,0.7316821465428277,5611,0.00011114785407580365
0.3,2,0.8077475924988198,0.7275541795665634,5611,0.00011114785407580365
0.3,3,0.7986306281070529,0.7296181630546955,5611,0.00011114785407580365
0.3,4,0.7908166205386749,0.7358101135190919,5611,0.00011114785407580365
0.3,5,0.8012839250302852,0.737874097007224,5611,0.00011114785407580365
0.3,6,0.7849670615619349,0.7327141382868937,5611,0.00011114785407580365
0.3,7,0.8021994625164142,0.7306501547987616,5611,0.00011114785407580365
0.3,8,0.8254318627975635,0.7306501547987616,5611,0.00011114785407580365
0.3,9,0.8049156534691735,0.7347781217750258,5611,0.00011114785407580365
0.3,10,0.8118161335792711,0.737874097007224,5611,0.00011114785407580365
