delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.6560260323183917,0.8173374613003096,8016,3.5453297526490887e-06
0.0,1,0.6583793673280872,0.8173374613003096,8016,3.5453297526490887e-06
0.0,2,0.6585549949583209,0.8163054695562435,8016,3.5453297526490887e-06
0.0,3,0.6537004935656712,0.8173374613003096,8016,3.5453297526490887e-06
0.0,4,0.659254884709665,0.8163054695562435,8016,3.5453297526490887e-06
0.0,5,0.656142236866077,0.8173374613003096,8016,3.5453297526490887e-06
0.0,6,0.6580770110005257,0.8173374613003096,8016,3.5453297526490887e-06
0.0,7,0.6546792391425996,0.8173374613003096,8016,3.5453297526490887e-06
0.0,8,0.6545155250258463,0.8183694530443757,8016,3.5453297526490887e-06
0.0,9,0.658754687680952,0.8163054695562435,8016,3.5453297526490887e-06
0.0,10,0.6567594581759372,0.8173374613003096,8016,3.5453297526490887e-06
0.0,11,0.6523978963691021,0.8183694530443757,8016,3.5453297526490887e-06
0.0,12,0.654405903489122,0.8173374613003096,8016,3.5453297526490887e-06
0.0,13,0.6572844933299062,0.8173374613003096,8016,3.5453297526490887e-06
0.0,14,0.6578000357343028,0.8173374613003096,8016,3.5453297526490887e-06
0.0,15,0.6568874946422188,0.8173374613003096,8016,3.5453297526490887e-06
0.0,16,0.6571365585428857,0.8173374613003096,8016,3.5453297526490887e-06
0.0,17,0.6561758699692313,0.8173374613003096,8016,3.5453297526490887e-06
0.0,18,0.6596116552017969,0.8173374613003096,8016,3.5453297526490887e-06
0.0,19,0.6547427969296656,0.8183694530443757,8016,3.5453297526490887e-06
0.0,20,0.6542313098804494,0.8183694530443757,8016,3.5453297526490887e-06
0.0,21,0.6546514160485305,0.8183694530443757,8016,3.5453297526490887e-06
0.0,22,0.6549434854112256,0.8163054695562435,8016,3.5453297526490887e-06
0.0,23,0.6577418417471779,0.8173374613003096,8016,3.5453297526490887e-06
0.0,24,0.6545423932390471,0.8173374613003096,8016,3.5453297526490887e-06
0.0,25,0.6568550903169604,0.8173374613003096,8016,3.5453297526490887e-06
0.0,26,0.6549254054997993,0.8183694530443757,8016,3.5453297526490887e-06
