delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7659474433093753,0.7285861713106295,8016,5.596618816659139e-06
0.0,1,0.7634469919924327,0.7296181630546955,8016,5.596618816659139e-06
0.0,2,0.7617999961663939,0.7306501547987616,8016,5.596618816659139e-06
0.0,3,0.7661355971016339,0.7265221878224974,8016,5.596618816659139e-06
0.0,4,0.7607999473882224,0.7275541795665634,8016,5.596618816659139e-06
0.0,5,0.762576749114345,0.7285861713106295,8016,5.596618816659139e-06
0.0,6,0.7626500928506047,0.7285861713106295,8016,5.596618816659139e-06
0.0,7,0.7605659982385118,0.7275541795665634,8016,5.596618816659139e-06
0.0,8,0.7655967119091731,0.7306501547987616,8016,5.596618816659139e-06
0.0,9,0.7661385042841427,0.7296181630546955,8016,5.596618816659139e-06
0.0,10,0.7619785446159593,0.7285861713106295,8016,5.596618816659139e-06
0.0,11,0.7611744501518946,0.7296181630546955,8016,5.596618816659139e-06
0.0,12,0.7614400402618802,0.7285861713106295,8016,5.596618816659139e-06
0.0,13,0.7600448895284342,0.7316821465428277,8016,5.596618816659139e-06
0.0,14,0.7636069863842869,0.7254901960784313,8016,5.596618816659139e-06
0.0,15,0.7636807264845323,0.7296181630546955,8016,5.596618816659139e-06
0.0,16,0.7637240591952339,0.7296181630546955,8016,5.596618816659139e-06
0.0,17,0.7639734149042445,0.7316821465428277,8016,5.596618816659139e-06
0.0,18,0.7652849077735043,0.7296181630546955,8016,5.596618816659139e-06
0.0,19,0.7636670808716897,0.7285861713106295,8016,5.596618816659139e-06
0.0,20,0.7649105579432331,0.7296181630546955,8016,5.596618816659139e-06
0.0,21,0.7632519728425861,0.7296181630546955,8016,5.596618816659139e-06
0.0,22,0.7663103482843859,0.7296181630546955,8016,5.596618816659139e-06
0.0,23,0.7598917184184883,0.7296181630546955,8016,5.596618816659139e-06
0.0,24,0.7560459757838677,0.7327141382868937,8016,5.596618816659139e-06
0.0,25,0.7632497816784574,0.7296181630546955,8016,5.596618816659139e-06
0.0,26,0.7637916747184749,0.7296181630546955,8016,5.596618816659139e-06
0.0,27,0.7617463758222203,0.7296181630546955,8016,5.596618816659139e-06
0.0,28,0.7593654092700926,0.7296181630546955,8016,5.596618816659139e-06
0.0,29,0.760974657393589,0.7285861713106295,8016,5.596618816659139e-06
0.1,0,0.7631097976326846,0.7306501547987616,7214,1.373453413538854e-05
0.1,1,0.7663614521589184,0.7275541795665634,7214,1.373453413538854e-05
0.1,2,0.7622365518363244,0.7306501547987616,7214,1.373453413538854e-05
