delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7939876164978932,0.7987616099071208,8016,1.4661487772935297e-05
0.0,1,0.7930002954620825,0.7966976264189887,8016,1.4661487772935297e-05
0.0,2,0.7924960540739422,0.7977296181630547,8016,1.4661487772935297e-05
0.0,3,0.805341012829446,0.7977296181630547,8016,1.4661487772935297e-05
0.0,4,0.8012308623746278,0.7966976264189887,8016,1.4661487772935297e-05
0.0,5,0.7973309676599001,0.7966976264189887,8016,1.4661487772935297e-05
0.0,6,0.8019590639874979,0.7987616099071208,8016,1.4661487772935297e-05
0.0,7,0.8027317754912829,0.7977296181630547,8016,1.4661487772935297e-05
0.0,8,0.7944801228246761,0.7977296181630547,8016,1.4661487772935297e-05
0.0,9,0.7950543108981868,0.7987616099071208,8016,1.4661487772935297e-05
0.0,10,0.7997557140009992,0.7966976264189887,8016,1.4661487772935297e-05
0.0,11,0.8033448239382567,0.7987616099071208,8016,1.4661487772935297e-05
0.0,12,0.7978508198703751,0.7977296181630547,8016,1.4661487772935297e-05
0.0,13,0.7969478729899868,0.7977296181630547,8016,1.4661487772935297e-05
0.0,14,0.8057228621774536,0.7977296181630547,8016,1.4661487772935297e-05
0.0,15,0.7940451007805823,0.7966976264189887,8016,1.4661487772935297e-05
0.0,16,0.7959622373949887,0.7987616099071208,8016,1.4661487772935297e-05
0.0,17,0.8044516267395473,0.7997936016511867,8016,1.4661487772935297e-05
0.0,18,0.7983846016694937,0.7977296181630547,8016,1.4661487772935297e-05
0.0,19,0.7999652501499097,0.7977296181630547,8016,1.4661487772935297e-05
0.0,20,0.7976851440092241,0.7997936016511867,8016,1.4661487772935297e-05
0.0,21,0.7991451439889949,0.7956656346749226,8016,1.4661487772935297e-05
0.0,22,0.7925255608841965,0.7956656346749226,8016,1.4661487772935297e-05
0.0,23,0.7991031906891055,0.7956656346749226,8016,1.4661487772935297e-05
0.0,24,0.7964488488298825,0.7977296181630547,8016,1.4661487772935297e-05
0.0,25,0.7956857943273281,0.7956656346749226,8016,1.4661487772935297e-05
0.0,26,0.7996757185723992,0.7966976264189887,8016,1.4661487772935297e-05
0.0,27,0.7947198349384651,0.7966976264189887,8016,1.4661487772935297e-05
0.0,28,0.7979335954219284,0.7956656346749226,8016,1.4661487772935297e-05
0.0,29,0.7937427967564266,0.7977296181630547,8016,1.4661487772935297e-05
0.1,0,0.8015956834166452,0.7977296181630547,7214,0.00011958854098781995
0.1,1,0.7928113777349551,0.7997936016511867,7214,0.00011958854098781995
0.1,2,0.8060903177890003,0.7946336429308566,7214,0.00011958854098781995
0.1,3,0.8165311054628501,0.7966976264189887,7214,0.00011958854098781995
0.1,4,0.8299458342311321,0.7936016511867905,7214,0.00011958854098781995
0.1,5,0.7985939021955337,0.7977296181630547,7214,0.00011958854098781995
0.1,6,0.8219737201445191,0.7936016511867905,7214,0.00011958854098781995
0.1,7,0.8096239257531924,0.7977296181630547,7214,0.00011958854098781995
0.1,8,0.799173068323442,0.7966976264189887,7214,0.00011958854098781995
0.1,9,0.8006583928913623,0.7956656346749226,7214,0.00011958854098781995
0.1,10,0.8027619781698352,0.7977296181630547,7214,0.00011958854098781995
0.1,11,0.8090995839904807,0.7997936016511867,7214,0.00011958854098781995
0.1,12,0.8070132583189635,0.7956656346749226,7214,0.00011958854098781995
0.1,13,0.8053738369610347,0.7956656346749226,7214,0.00011958854098781995
0.1,14,0.7936367918442924,0.7936016511867905,7214,0.00011958854098781995
0.1,15,0.7998736782515614,0.7977296181630547,7214,0.00011958854098781995
0.1,16,0.8186358000704997,0.7966976264189887,7214,0.00011958854098781995
0.1,17,0.7992583089264782,0.7987616099071208,7214,0.00011958854098781995
0.1,18,0.7844104401760934,0.8008255933952528,7214,0.00011958854098781995
0.1,19,0.8143396720603755,0.7936016511867905,7214,0.00011958854098781995
0.1,20,0.8103789586251464,0.7956656346749226,7214,0.00011958854098781995
0.1,21,0.8100883479986318,0.7946336429308566,7214,0.00011958854098781995
0.1,22,0.8094802844539036,0.7997936016511867,7214,0.00011958854098781995
0.1,23,0.7955395916860027,0.8018575851393189,7214,0.00011958854098781995
0.1,24,0.7999215626935547,0.7925696594427245,7214,0.00011958854098781995
0.1,25,0.7947920620060106,0.8008255933952528,7214,0.00011958854098781995
0.1,26,0.793639541951163,0.7966976264189887,7214,0.00011958854098781995
0.1,27,0.7946200465080732,0.8008255933952528,7214,0.00011958854098781995
0.1,28,0.8034831960020464,0.7936016511867905,7214,0.00011958854098781995
0.1,29,0.8315323416599644,0.7925696594427245,7214,0.00011958854098781995
0.2,0,0.8021580711096102,0.7987616099071208,6412,0.00020974095168454476
0.2,1,0.8240867775406217,0.7894736842105263,6412,0.00020974095168454476
0.2,2,0.817999946073835,0.7956656346749226,6412,0.00020974095168454476
0.2,3,0.7966137810357129,0.7977296181630547,6412,0.00020974095168454476
0.2,4,0.8204918001612409,0.7966976264189887,6412,0.00020974095168454476
0.2,5,0.7976977359756388,0.7925696594427245,6412,0.00020974095168454476
0.2,6,0.8272428361506206,0.7966976264189887,6412,0.00020974095168454476
0.2,7,0.8315855681011312,0.7853457172342622,6412,0.00020974095168454476
0.2,8,0.796336325439708,0.7966976264189887,6412,0.00020974095168454476
0.2,9,0.8225581539461578,0.7925696594427245,6412,0.00020974095168454476
0.2,10,0.8092230995210429,0.8008255933952528,6412,0.00020974095168454476
0.2,11,0.8197309962381952,0.8008255933952528,6412,0.00020974095168454476
0.2,12,0.8176758421020354,0.7905056759545923,6412,0.00020974095168454476
0.2,13,0.7779352301894328,0.8008255933952528,6412,0.00020974095168454476
0.2,14,0.8287123775343679,0.7956656346749226,6412,0.00020974095168454476
0.2,15,0.7967597163404135,0.7925696594427245,6412,0.00020974095168454476
0.2,16,0.8180896968441087,0.7936016511867905,6412,0.00020974095168454476
0.2,17,0.8297428221213763,0.7946336429308566,6412,0.00020974095168454476
0.2,18,0.8309630325657378,0.7946336429308566,6412,0.00020974095168454476
0.2,19,0.7947740790591507,0.8028895768833849,6412,0.00020974095168454476
0.2,20,0.8223005372211285,0.7915376676986584,6412,0.00020974095168454476
0.2,21,0.8204000006988321,0.7946336429308566,6412,0.00020974095168454476
0.2,22,0.7947596133718849,0.8008255933952528,6412,0.00020974095168454476
0.2,23,0.8175363006767283,0.7977296181630547,6412,0.00020974095168454476
0.2,24,0.8292321533585952,0.7956656346749226,6412,0.00020974095168454476
0.2,25,0.8209774711493452,0.7997936016511867,6412,0.00020974095168454476
0.2,26,0.8078032316458335,0.7874097007223942,6412,0.00020974095168454476
0.2,27,0.7973128046552165,0.8018575851393189,6412,0.00020974095168454476
0.2,28,0.806278375504026,0.7966976264189887,6412,0.00020974095168454476
0.2,29,0.8338008751272552,0.7905056759545923,6412,0.00020974095168454476
0.3,0,0.8324294247433107,0.7977296181630547,5611,0.00037796697946002457
0.3,1,0.8022438203797662,0.7966976264189887,5611,0.00037796697946002457
0.3,2,0.8275483097210954,0.8018575851393189,5611,0.00037796697946002457
