delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7828281857486881,0.737874097007224,8017,2.133396581337181e-06
0.0,1,0.7822474054787482,0.7347781217750258,8017,2.133396581337181e-06
0.0,2,0.7847215923358727,0.7368421052631579,8017,2.133396581337181e-06
0.0,3,0.7852687031208337,0.737874097007224,8017,2.133396581337181e-06
0.0,4,0.7857387798750256,0.7368421052631579,8017,2.133396581337181e-06
0.0,5,0.7828738123168738,0.7389060887512899,8017,2.133396581337181e-06
0.0,6,0.7812315956660709,0.7358101135190919,8017,2.133396581337181e-06
0.0,7,0.7810758494220258,0.737874097007224,8017,2.133396581337181e-06
0.0,8,0.7860670612196196,0.737874097007224,8017,2.133396581337181e-06
0.0,9,0.7836192333251769,0.7368421052631579,8017,2.133396581337181e-06
0.0,10,0.7845792425665512,0.7368421052631579,8017,2.133396581337181e-06
0.0,11,0.784994541185699,0.7368421052631579,8017,2.133396581337181e-06
0.0,12,0.7840124422423631,0.7358101135190919,8017,2.133396581337181e-06
0.0,13,0.7848404308016746,0.7337461300309598,8017,2.133396581337181e-06
0.0,14,0.7843130087407328,0.7358101135190919,8017,2.133396581337181e-06
0.0,15,0.7838390863800319,0.7358101135190919,8017,2.133396581337181e-06
0.0,16,0.7837664762600735,0.7368421052631579,8017,2.133396581337181e-06
0.0,17,0.7828234102063042,0.737874097007224,8017,2.133396581337181e-06
0.0,18,0.7837775000389683,0.737874097007224,8017,2.133396581337181e-06
0.0,19,0.7828550062058238,0.7368421052631579,8017,2.133396581337181e-06
0.0,20,0.7823098626393119,0.737874097007224,8017,2.133396581337181e-06
0.0,21,0.7817443400473629,0.737874097007224,8017,2.133396581337181e-06
0.0,22,0.783624263449277,0.737874097007224,8017,2.133396581337181e-06
0.0,23,0.7835905684817613,0.7368421052631579,8017,2.133396581337181e-06
0.0,24,0.7830897902795743,0.7389060887512899,8017,2.133396581337181e-06
0.0,25,0.7864145102022619,0.737874097007224,8017,2.133396581337181e-06
0.0,26,0.7857451920608373,0.7368421052631579,8017,2.133396581337181e-06
0.0,27,0.7848947952871758,0.7358101135190919,8017,2.133396581337181e-06
0.0,28,0.7836185353056456,0.7389060887512899,8017,2.133396581337181e-06
0.0,29,0.7810153620828064,0.7347781217750258,8017,2.133396581337181e-06
0.1,0,0.7974935269807544,0.7327141382868937,7215,2.8943694895840326e-05
0.1,1,0.7910954160238753,0.7358101135190919,7215,2.8943694895840326e-05
0.1,2,0.786659018397694,0.7327141382868937,7215,2.8943694895840326e-05
0.1,3,0.7929179233766839,0.7347781217750258,7215,2.8943694895840326e-05
0.1,4,0.7790175781275054,0.7368421052631579,7215,2.8943694895840326e-05
0.1,5,0.7933887350048628,0.7327141382868937,7215,2.8943694895840326e-05
