delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.69914937709606,0.8173374613003096,8017,6.70623346847751e-06
0.0,1,0.7001908930117251,0.8183694530443757,8017,6.70623346847751e-06
0.0,2,0.6986080854415934,0.8183694530443757,8017,6.70623346847751e-06
0.0,3,0.7008302694372263,0.8152734778121775,8017,6.70623346847751e-06
0.0,4,0.6973446543884947,0.8173374613003096,8017,6.70623346847751e-06
0.0,5,0.7023818471342622,0.8173374613003096,8017,6.70623346847751e-06
0.0,6,0.6986720329872519,0.8163054695562435,8017,6.70623346847751e-06
0.0,7,0.7029528178352159,0.8173374613003096,8017,6.70623346847751e-06
0.0,8,0.7007391058054159,0.8173374613003096,8017,6.70623346847751e-06
0.0,9,0.7011865714836027,0.8194014447884417,8017,6.70623346847751e-06
0.0,10,0.700681690448156,0.8183694530443757,8017,6.70623346847751e-06
0.0,11,0.6981870240559352,0.8183694530443757,8017,6.70623346847751e-06
0.0,12,0.6927380644306823,0.8194014447884417,8017,6.70623346847751e-06
0.0,13,0.692923079621881,0.8173374613003096,8017,6.70623346847751e-06
0.0,14,0.6995996366305746,0.8173374613003096,8017,6.70623346847751e-06
0.0,15,0.7009634221988743,0.8204334365325078,8017,6.70623346847751e-06
0.0,16,0.7024126575329062,0.8152734778121775,8017,6.70623346847751e-06
0.0,17,0.7036749687481066,0.8194014447884417,8017,6.70623346847751e-06
0.0,18,0.7010982142990088,0.8173374613003096,8017,6.70623346847751e-06
0.0,19,0.7011836874445097,0.8173374613003096,8017,6.70623346847751e-06
0.0,20,0.7006790582147205,0.8183694530443757,8017,6.70623346847751e-06
0.0,21,0.701002768135194,0.8173374613003096,8017,6.70623346847751e-06
0.0,22,0.7008008656406023,0.8183694530443757,8017,6.70623346847751e-06
0.0,23,0.7039559321854785,0.8163054695562435,8017,6.70623346847751e-06
0.0,24,0.7020747327956545,0.8183694530443757,8017,6.70623346847751e-06
0.0,25,0.697024833559076,0.8183694530443757,8017,6.70623346847751e-06
0.0,26,0.7005211361469346,0.8152734778121775,8017,6.70623346847751e-06
0.0,27,0.6988557720971148,0.8152734778121775,8017,6.70623346847751e-06
0.0,28,0.7007289059513147,0.8163054695562435,8017,6.70623346847751e-06
0.0,29,0.7019049540782004,0.8173374613003096,8017,6.70623346847751e-06
0.1,0,0.6934085034597162,0.8183694530443757,7215,9.175119959839231e-05
0.1,1,0.7124487530678578,0.8163054695562435,7215,9.175119959839231e-05
0.1,2,0.7069864398762846,0.8194014447884417,7215,9.175119959839231e-05
0.1,3,0.7146733220884145,0.8173374613003096,7215,9.175119959839231e-05
0.1,4,0.7025431017206668,0.8163054695562435,7215,9.175119959839231e-05
0.1,5,0.7138971401100721,0.8173374613003096,7215,9.175119959839231e-05
0.1,6,0.7296063410489962,0.8214654282765738,7215,9.175119959839231e-05
0.1,7,0.7039556918115646,0.8204334365325078,7215,9.175119959839231e-05
0.1,8,0.7057059272434386,0.8152734778121775,7215,9.175119959839231e-05
0.1,9,0.6984755031589532,0.8163054695562435,7215,9.175119959839231e-05
0.1,10,0.7072352122434766,0.8173374613003096,7215,9.175119959839231e-05
0.1,11,0.6998717949010292,0.8183694530443757,7215,9.175119959839231e-05
0.1,12,0.7002773000111099,0.8121775025799793,7215,9.175119959839231e-05
0.1,13,0.711147300617393,0.8204334365325078,7215,9.175119959839231e-05
0.1,14,0.7169222834202902,0.8183694530443757,7215,9.175119959839231e-05
0.1,15,0.7049910314741237,0.8194014447884417,7215,9.175119959839231e-05
0.1,16,0.7090013183899658,0.8111455108359134,7215,9.175119959839231e-05
0.1,17,0.7165523591845194,0.8132094943240454,7215,9.175119959839231e-05
0.1,18,0.7035364954040808,0.8121775025799793,7215,9.175119959839231e-05
0.1,19,0.7100863862504541,0.8163054695562435,7215,9.175119959839231e-05
0.1,20,0.7196636816807177,0.8214654282765738,7215,9.175119959839231e-05
0.1,21,0.7046088999230601,0.8152734778121775,7215,9.175119959839231e-05
0.1,22,0.6953505283877706,0.8194014447884417,7215,9.175119959839231e-05
0.1,23,0.7078338755977542,0.8173374613003096,7215,9.175119959839231e-05
0.1,24,0.7191589290085482,0.8132094943240454,7215,9.175119959839231e-05
0.1,25,0.7393709570976797,0.8194014447884417,7215,9.175119959839231e-05
0.1,26,0.710711115183585,0.8163054695562435,7215,9.175119959839231e-05
0.1,27,0.7127933719544418,0.8204334365325078,7215,9.175119959839231e-05
0.1,28,0.7082736780210818,0.8111455108359134,7215,9.175119959839231e-05
0.1,29,0.7027754776988822,0.8173374613003096,7215,9.175119959839231e-05
0.2,0,0.71475427236862,0.8245614035087719,6415,0.00027752606674579547
0.2,1,0.7340738267922212,0.8163054695562435,6415,0.00027752606674579547
0.2,2,0.7305434519731883,0.8142414860681114,6415,0.00027752606674579547
0.2,3,0.706554530629885,0.8194014447884417,6415,0.00027752606674579547
0.2,4,0.6989363428672558,0.8183694530443757,6415,0.00027752606674579547
0.2,5,0.7586597929623965,0.8173374613003096,6415,0.00027752606674579547
0.2,6,0.7000614131537412,0.8194014447884417,6415,0.00027752606674579547
0.2,7,0.7406475968179829,0.8183694530443757,6415,0.00027752606674579547
0.2,8,0.7373013724298612,0.8142414860681114,6415,0.00027752606674579547
0.2,9,0.7158021344576703,0.8183694530443757,6415,0.00027752606674579547
0.2,10,0.7055704996613048,0.8152734778121775,6415,0.00027752606674579547
0.2,11,0.6958135913368577,0.8173374613003096,6415,0.00027752606674579547
0.2,12,0.7380813334083972,0.8121775025799793,6415,0.00027752606674579547
0.2,13,0.7269966143488311,0.8173374613003096,6415,0.00027752606674579547
0.2,14,0.743380519117787,0.8142414860681114,6415,0.00027752606674579547
0.2,15,0.7111470063019357,0.8183694530443757,6415,0.00027752606674579547
0.2,16,0.7333849832458752,0.8163054695562435,6415,0.00027752606674579547
0.2,17,0.7056980270600718,0.8173374613003096,6415,0.00027752606674579547
0.2,18,0.7081696358720206,0.8142414860681114,6415,0.00027752606674579547
0.2,19,0.6997810430253834,0.8163054695562435,6415,0.00027752606674579547
0.2,20,0.7227603085643708,0.8173374613003096,6415,0.00027752606674579547
0.2,21,0.7495721139816894,0.8121775025799793,6415,0.00027752606674579547
0.2,22,0.7235829596927459,0.8173374613003096,6415,0.00027752606674579547
0.2,23,0.700259516317882,0.8142414860681114,6415,0.00027752606674579547
0.2,24,0.7020726422471136,0.8163054695562435,6415,0.00027752606674579547
0.2,25,0.710186372214004,0.8173374613003096,6415,0.00027752606674579547
0.2,26,0.7210934609483746,0.8173374613003096,6415,0.00027752606674579547
0.2,27,0.7167792954221092,0.8152734778121775,6415,0.00027752606674579547
0.2,28,0.7234151328491799,0.8183694530443757,6415,0.00027752606674579547
0.2,29,0.7203995761347912,0.8111455108359134,6415,0.00027752606674579547
0.3,0,0.7309663931093439,0.8121775025799793,5612,0.0006819237063320543
0.3,1,0.8020529129803707,0.8121775025799793,5612,0.0006819237063320543
0.3,2,0.752946713140189,0.8132094943240454,5612,0.0006819237063320543
0.3,3,0.7181704350458623,0.8194014447884417,5612,0.0006819237063320543
0.3,4,0.728689297133892,0.826625386996904,5612,0.0006819237063320543
0.3,5,0.6906741260831161,0.8183694530443757,5612,0.0006819237063320543
0.3,6,0.7178895737379792,0.8214654282765738,5612,0.0006819237063320543
0.3,7,0.7075212172080346,0.8152734778121775,5612,0.0006819237063320543
0.3,8,0.7296571848750378,0.8183694530443757,5612,0.0006819237063320543
0.3,9,0.8026171302825306,0.8163054695562435,5612,0.0006819237063320543
0.3,10,0.7222633396096672,0.8121775025799793,5612,0.0006819237063320543
0.3,11,0.7430860777832918,0.8183694530443757,5612,0.0006819237063320543
0.3,12,0.7580673775677366,0.8132094943240454,5612,0.0006819237063320543
0.3,13,0.746671526947347,0.8173374613003096,5612,0.0006819237063320543
0.3,14,0.7540564049441526,0.8090815273477813,5612,0.0006819237063320543
0.3,15,0.7043129849492812,0.8152734778121775,5612,0.0006819237063320543
0.3,16,0.7320738515253223,0.8142414860681114,5612,0.0006819237063320543
0.3,17,0.7303786401587535,0.8142414860681114,5612,0.0006819237063320543
0.3,18,0.7104764211290351,0.8152734778121775,5612,0.0006819237063320543
0.3,19,0.7136986467764839,0.8142414860681114,5612,0.0006819237063320543
0.3,20,0.7389842533979144,0.8183694530443757,5612,0.0006819237063320543
0.3,21,0.7517006723844784,0.8018575851393189,5612,0.0006819237063320543
0.3,22,0.7404768575738263,0.8070175438596491,5612,0.0006819237063320543
0.3,23,0.7077718307940964,0.8224974200206399,5612,0.0006819237063320543
0.3,24,0.7156185109975588,0.8121775025799793,5612,0.0006819237063320543
0.3,25,0.7427307329709699,0.8183694530443757,5612,0.0006819237063320543
0.3,26,0.7077748724148992,0.8183694530443757,5612,0.0006819237063320543
0.3,27,0.7302226502991491,0.8142414860681114,5612,0.0006819237063320543
0.3,28,0.7637068070413283,0.8173374613003096,5612,0.0006819237063320543
0.3,29,0.7601090361023253,0.8101135190918473,5612,0.0006819237063320543
0.4,0,0.7411586902979652,0.804953560371517,4810,0.0003847646093111906
0.4,1,0.7776629104808257,0.8121775025799793,4810,0.0003847646093111906
0.4,2,0.71444066674647,0.8163054695562435,4810,0.0003847646093111906
0.4,3,0.7317868010177604,0.8121775025799793,4810,0.0003847646093111906
0.4,4,0.7495701154074053,0.8183694530443757,4810,0.0003847646093111906
0.4,5,0.7571195327622537,0.8142414860681114,4810,0.0003847646093111906
0.4,6,0.7157576855689187,0.8142414860681114,4810,0.0003847646093111906
0.4,7,0.7334896467855391,0.8163054695562435,4810,0.0003847646093111906
0.4,8,0.7539890138118842,0.8121775025799793,4810,0.0003847646093111906
0.4,9,0.7310560164832759,0.8173374613003096,4810,0.0003847646093111906
0.4,10,0.7500160557330119,0.8142414860681114,4810,0.0003847646093111906
0.4,11,0.7552214465361374,0.8101135190918473,4810,0.0003847646093111906
0.4,12,0.7215134071927373,0.8152734778121775,4810,0.0003847646093111906
0.4,13,0.7394150681818348,0.8194014447884417,4810,0.0003847646093111906
0.4,14,0.7773685521980573,0.8111455108359134,4810,0.0003847646093111906
0.4,15,0.7640066876734214,0.8152734778121775,4810,0.0003847646093111906
0.4,16,0.7598826642820876,0.8163054695562435,4810,0.0003847646093111906
0.4,17,0.7713124523272563,0.8173374613003096,4810,0.0003847646093111906
0.4,18,0.7499862357836466,0.8204334365325078,4810,0.0003847646093111906
0.4,19,0.7117983074870682,0.8080495356037152,4810,0.0003847646093111906
0.4,20,0.7556458369316847,0.8142414860681114,4810,0.0003847646093111906
0.4,21,0.7370288097455874,0.8183694530443757,4810,0.0003847646093111906
0.4,22,0.7492912906056023,0.8163054695562435,4810,0.0003847646093111906
0.4,23,0.7265520397052116,0.8204334365325078,4810,0.0003847646093111906
0.4,24,0.7623588246700105,0.8142414860681114,4810,0.0003847646093111906
0.4,25,0.7374902765524163,0.8194014447884417,4810,0.0003847646093111906
0.4,26,0.7452604696754518,0.8173374613003096,4810,0.0003847646093111906
0.4,27,0.7488397005388403,0.8224974200206399,4810,0.0003847646093111906
0.4,28,0.7687786933988351,0.8090815273477813,4810,0.0003847646093111906
0.4,29,0.7909122355104888,0.8111455108359134,4810,0.0003847646093111906
0.5,0,0.7648680210426433,0.8204334365325078,4009,0.0008986225084691562
0.5,1,0.7281747642600773,0.8132094943240454,4009,0.0008986225084691562
0.5,2,0.7682278268699068,0.8152734778121775,4009,0.0008986225084691562
0.5,3,0.7884579732594001,0.8163054695562435,4009,0.0008986225084691562
0.5,4,0.7808664053087025,0.8142414860681114,4009,0.0008986225084691562
0.5,5,0.7497440440753643,0.8183694530443757,4009,0.0008986225084691562
0.5,6,0.781604748021811,0.8121775025799793,4009,0.0008986225084691562
0.5,7,0.8348958251896071,0.8101135190918473,4009,0.0008986225084691562
0.5,8,0.8025705393363242,0.8245614035087719,4009,0.0008986225084691562
0.5,9,0.7886437083724706,0.8070175438596491,4009,0.0008986225084691562
0.5,10,0.7663986611162003,0.8132094943240454,4009,0.0008986225084691562
0.5,11,0.765237170576602,0.8132094943240454,4009,0.0008986225084691562
0.5,12,0.7866491395575478,0.8080495356037152,4009,0.0008986225084691562
0.5,13,0.7794328480287821,0.8183694530443757,4009,0.0008986225084691562
0.5,14,0.7418928599114062,0.8173374613003096,4009,0.0008986225084691562
0.5,15,0.7289597476918616,0.8235294117647058,4009,0.0008986225084691562
0.5,16,0.7525172409002323,0.8111455108359134,4009,0.0008986225084691562
0.5,17,0.7321776425713471,0.8183694530443757,4009,0.0008986225084691562
0.5,18,0.763936655267433,0.8152734778121775,4009,0.0008986225084691562
0.5,19,0.8091052243854726,0.8111455108359134,4009,0.0008986225084691562
0.5,20,0.7440304479331709,0.8194014447884417,4009,0.0008986225084691562
0.5,21,0.7293042337837427,0.8173374613003096,4009,0.0008986225084691562
0.5,22,0.80520806241944,0.8111455108359134,4009,0.0008986225084691562
0.5,23,0.7301600174369103,0.8235294117647058,4009,0.0008986225084691562
0.5,24,0.7935240580275145,0.8224974200206399,4009,0.0008986225084691562
0.5,25,0.7965547963380976,0.8090815273477813,4009,0.0008986225084691562
0.5,26,0.7852122528667722,0.8132094943240454,4009,0.0008986225084691562
0.5,27,0.7520060689324689,0.8059855521155831,4009,0.0008986225084691562
0.5,28,0.7201221194105397,0.8142414860681114,4009,0.0008986225084691562
0.5,29,0.8150260746477361,0.8163054695562435,4009,0.0008986225084691562
