delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.6767932194770729,0.7739938080495357,8017,9.769994847429001e-06
0.0,1,0.6820583483336584,0.7719298245614035,8017,9.769994847429001e-06
0.0,2,0.6720333469481936,0.7708978328173375,8017,9.769994847429001e-06
0.0,3,0.6790859719355528,0.7698658410732714,8017,9.769994847429001e-06
0.0,4,0.6879172271787878,0.7678018575851393,8017,9.769994847429001e-06
0.0,5,0.6815729667737137,0.7688338493292054,8017,9.769994847429001e-06
0.0,6,0.6839967703181109,0.7698658410732714,8017,9.769994847429001e-06
0.0,7,0.6843139749569448,0.7708978328173375,8017,9.769994847429001e-06
0.0,8,0.6796896898341743,0.7719298245614035,8017,9.769994847429001e-06
0.0,9,0.6787505830203481,0.7698658410732714,8017,9.769994847429001e-06
0.0,10,0.6774660889519731,0.7719298245614035,8017,9.769994847429001e-06
0.0,11,0.682590642936193,0.7698658410732714,8017,9.769994847429001e-06
0.0,12,0.6819807978674708,0.7708978328173375,8017,9.769994847429001e-06
0.0,13,0.6815380520931009,0.7698658410732714,8017,9.769994847429001e-06
0.0,14,0.6821281344539828,0.7667698658410733,8017,9.769994847429001e-06
0.0,15,0.6788453017793089,0.7708978328173375,8017,9.769994847429001e-06
0.0,16,0.682144534470809,0.7698658410732714,8017,9.769994847429001e-06
0.0,17,0.6802776193210565,0.7719298245614035,8017,9.769994847429001e-06
0.0,18,0.6749972916337043,0.7719298245614035,8017,9.769994847429001e-06
0.0,19,0.6807275083064193,0.7729618163054696,8017,9.769994847429001e-06
0.0,20,0.6845062415284167,0.7698658410732714,8017,9.769994847429001e-06
0.0,21,0.6804004715086616,0.7688338493292054,8017,9.769994847429001e-06
0.0,22,0.680090995587333,0.7698658410732714,8017,9.769994847429001e-06
0.0,23,0.68158662533489,0.7719298245614035,8017,9.769994847429001e-06
0.0,24,0.6828401781463771,0.7719298245614035,8017,9.769994847429001e-06
0.0,25,0.6794319822014135,0.7698658410732714,8017,9.769994847429001e-06
0.0,26,0.6800267004779639,0.7698658410732714,8017,9.769994847429001e-06
0.0,27,0.6800612308724608,0.7708978328173375,8017,9.769994847429001e-06
0.0,28,0.680313412078499,0.7708978328173375,8017,9.769994847429001e-06
0.0,29,0.6752939709721443,0.7729618163054696,8017,9.769994847429001e-06
0.1,0,0.6759803582254909,0.7719298245614035,7215,6.922318081145118e-05
0.1,1,0.6829046172068229,0.7647058823529411,7215,6.922318081145118e-05
0.1,2,0.677934398530634,0.7739938080495357,7215,6.922318081145118e-05
0.1,3,0.6778770934925695,0.7760577915376677,7215,6.922318081145118e-05
0.1,4,0.6897723939410975,0.7719298245614035,7215,6.922318081145118e-05
0.1,5,0.6927100558186036,0.7750257997936016,7215,6.922318081145118e-05
0.1,6,0.6865218945923848,0.7729618163054696,7215,6.922318081145118e-05
0.1,7,0.6893661744104311,0.7770897832817337,7215,6.922318081145118e-05
0.1,8,0.6775273446175223,0.7708978328173375,7215,6.922318081145118e-05
0.1,9,0.683696477794878,0.7719298245614035,7215,6.922318081145118e-05
0.1,10,0.6824252347331575,0.7729618163054696,7215,6.922318081145118e-05
0.1,11,0.678071896511738,0.7812177502579979,7215,6.922318081145118e-05
0.1,12,0.6865666135978191,0.7760577915376677,7215,6.922318081145118e-05
0.1,13,0.6847741477421392,0.7750257997936016,7215,6.922318081145118e-05
0.1,14,0.7022805430572581,0.7698658410732714,7215,6.922318081145118e-05
0.1,15,0.6910258713771297,0.7708978328173375,7215,6.922318081145118e-05
0.1,16,0.6628108645585004,0.7750257997936016,7215,6.922318081145118e-05
0.1,17,0.6847942626092567,0.7729618163054696,7215,6.922318081145118e-05
0.1,18,0.676692785696483,0.7688338493292054,7215,6.922318081145118e-05
0.1,19,0.6864883226097526,0.7729618163054696,7215,6.922318081145118e-05
0.1,20,0.6797014453389989,0.7739938080495357,7215,6.922318081145118e-05
0.1,21,0.675905236871816,0.7801857585139319,7215,6.922318081145118e-05
0.1,22,0.6767703658695967,0.7688338493292054,7215,6.922318081145118e-05
0.1,23,0.6814756336733826,0.7760577915376677,7215,6.922318081145118e-05
0.1,24,0.6845607178898411,0.7760577915376677,7215,6.922318081145118e-05
0.1,25,0.7011406838861599,0.7739938080495357,7215,6.922318081145118e-05
0.1,26,0.7008012244029564,0.7729618163054696,7215,6.922318081145118e-05
0.1,27,0.6880434079319474,0.7719298245614035,7215,6.922318081145118e-05
0.1,28,0.6842104515388844,0.7770897832817337,7215,6.922318081145118e-05
0.1,29,0.6874476518959259,0.7678018575851393,7215,6.922318081145118e-05
0.2,0,0.684602414652961,0.7760577915376677,6415,0.00010594765719513813
0.2,1,0.6966164966025139,0.7708978328173375,6415,0.00010594765719513813
0.2,2,0.6985178207705158,0.7708978328173375,6415,0.00010594765719513813
0.2,3,0.699650981977959,0.7729618163054696,6415,0.00010594765719513813
0.2,4,0.693098327479469,0.7708978328173375,6415,0.00010594765719513813
0.2,5,0.7076125258518241,0.7739938080495357,6415,0.00010594765719513813
0.2,6,0.6960643746954136,0.7657378740970072,6415,0.00010594765719513813
0.2,7,0.7146138371348304,0.7657378740970072,6415,0.00010594765719513813
0.2,8,0.7038751601575405,0.7719298245614035,6415,0.00010594765719513813
0.2,9,0.6778597373304542,0.7750257997936016,6415,0.00010594765719513813
0.2,10,0.6822727498213882,0.7739938080495357,6415,0.00010594765719513813
0.2,11,0.6958388250930061,0.7647058823529411,6415,0.00010594765719513813
0.2,12,0.7026619485918262,0.7678018575851393,6415,0.00010594765719513813
0.2,13,0.6900766619440317,0.7729618163054696,6415,0.00010594765719513813
0.2,14,0.6969452916759726,0.7760577915376677,6415,0.00010594765719513813
0.2,15,0.6800043634411743,0.7770897832817337,6415,0.00010594765719513813
0.2,16,0.6982566431334792,0.7708978328173375,6415,0.00010594765719513813
0.2,17,0.6828939804315081,0.7770897832817337,6415,0.00010594765719513813
0.2,18,0.7050831048444948,0.7739938080495357,6415,0.00010594765719513813
0.2,19,0.6838487880778699,0.7719298245614035,6415,0.00010594765719513813
0.2,20,0.6728237295915048,0.7781217750257998,6415,0.00010594765719513813
0.2,21,0.6824032097033774,0.7791537667698658,6415,0.00010594765719513813
0.2,22,0.6790200800726859,0.7667698658410733,6415,0.00010594765719513813
0.2,23,0.6895778263303984,0.7760577915376677,6415,0.00010594765719513813
0.2,24,0.681940486782437,0.7708978328173375,6415,0.00010594765719513813
0.2,25,0.6861114254376288,0.7688338493292054,6415,0.00010594765719513813
0.2,26,0.7011128301827055,0.7770897832817337,6415,0.00010594765719513813
0.2,27,0.6786389322967193,0.7719298245614035,6415,0.00010594765719513813
0.2,28,0.6911761426746486,0.7678018575851393,6415,0.00010594765719513813
0.2,29,0.692967339389697,0.7678018575851393,6415,0.00010594765719513813
0.3,0,0.7097299464488602,0.7760577915376677,5612,0.0001688792818467065
0.3,1,0.7052907830501459,0.7770897832817337,5612,0.0001688792818467065
0.3,2,0.7116125182342065,0.7729618163054696,5612,0.0001688792818467065
0.3,3,0.6957800686873277,0.7708978328173375,5612,0.0001688792818467065
0.3,4,0.7077875731335292,0.7688338493292054,5612,0.0001688792818467065
0.3,5,0.6993902649967789,0.7667698658410733,5612,0.0001688792818467065
0.3,6,0.6946770965933092,0.7750257997936016,5612,0.0001688792818467065
0.3,7,0.6797633733743277,0.7781217750257998,5612,0.0001688792818467065
0.3,8,0.7056852615360546,0.7698658410732714,5612,0.0001688792818467065
0.3,9,0.7113032551463361,0.762641898864809,5612,0.0001688792818467065
0.3,10,0.6904884402673676,0.7801857585139319,5612,0.0001688792818467065
0.3,11,0.6913677059047392,0.7719298245614035,5612,0.0001688792818467065
0.3,12,0.7203424066904588,0.7739938080495357,5612,0.0001688792818467065
0.3,13,0.6958257119810567,0.7791537667698658,5612,0.0001688792818467065
0.3,14,0.7082430424405501,0.7688338493292054,5612,0.0001688792818467065
0.3,15,0.7004791741283937,0.7698658410732714,5612,0.0001688792818467065
0.3,16,0.7056746343199579,0.7678018575851393,5612,0.0001688792818467065
0.3,17,0.6992083052553912,0.7698658410732714,5612,0.0001688792818467065
0.3,18,0.6883539889460716,0.7698658410732714,5612,0.0001688792818467065
0.3,19,0.6685637851912024,0.7678018575851393,5612,0.0001688792818467065
0.3,20,0.6809265997089264,0.7729618163054696,5612,0.0001688792818467065
0.3,21,0.6838691984053464,0.7708978328173375,5612,0.0001688792818467065
0.3,22,0.6902169384468793,0.7750257997936016,5612,0.0001688792818467065
0.3,23,0.6779487424650613,0.7667698658410733,5612,0.0001688792818467065
