delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7889133193309019,0.7306501547987616,8017,5.643964043532645e-06
0.0,1,0.7881100122125857,0.7347781217750258,8017,5.643964043532645e-06
0.0,2,0.7860279566909789,0.7275541795665634,8017,5.643964043532645e-06
0.0,3,0.7905474452854225,0.7337461300309598,8017,5.643964043532645e-06
0.0,4,0.7927064175868116,0.7316821465428277,8017,5.643964043532645e-06
0.0,5,0.7867534597446212,0.7347781217750258,8017,5.643964043532645e-06
0.0,6,0.7896015889443166,0.7316821465428277,8017,5.643964043532645e-06
0.0,7,0.788456901627203,0.7358101135190919,8017,5.643964043532645e-06
0.0,8,0.7915589066869312,0.7347781217750258,8017,5.643964043532645e-06
0.0,9,0.7866330941867635,0.7316821465428277,8017,5.643964043532645e-06
0.0,10,0.788452358158381,0.7337461300309598,8017,5.643964043532645e-06
0.0,11,0.7892880974879681,0.7327141382868937,8017,5.643964043532645e-06
0.0,12,0.7859145105313612,0.7358101135190919,8017,5.643964043532645e-06
0.0,13,0.7842419753019843,0.7337461300309598,8017,5.643964043532645e-06
0.0,14,0.7869944940389885,0.7306501547987616,8017,5.643964043532645e-06
0.0,15,0.7828690887848267,0.7316821465428277,8017,5.643964043532645e-06
0.0,16,0.7891731976127323,0.7337461300309598,8017,5.643964043532645e-06
0.0,17,0.7884652345297359,0.7316821465428277,8017,5.643964043532645e-06
0.0,18,0.7867441895114554,0.7347781217750258,8017,5.643964043532645e-06
0.0,19,0.78595869195575,0.7306501547987616,8017,5.643964043532645e-06
0.0,20,0.7882422377966517,0.7358101135190919,8017,5.643964043532645e-06
0.0,21,0.7895947814792436,0.7327141382868937,8017,5.643964043532645e-06
0.0,22,0.7852302575267267,0.7327141382868937,8017,5.643964043532645e-06
0.0,23,0.7874844729527015,0.7347781217750258,8017,5.643964043532645e-06
0.0,24,0.7885006466657661,0.7296181630546955,8017,5.643964043532645e-06
0.0,25,0.7882208242912317,0.7327141382868937,8017,5.643964043532645e-06
0.0,26,0.7904082728683075,0.7337461300309598,8017,5.643964043532645e-06
0.0,27,0.7842211569027254,0.7316821465428277,8017,5.643964043532645e-06
0.0,28,0.7832569744766805,0.7316821465428277,8017,5.643964043532645e-06
0.0,29,0.7851670098969754,0.7337461300309598,8017,5.643964043532645e-06
0.1,0,0.7868391740184433,0.7316821465428277,7215,3.389999807782454e-05
0.1,1,0.787303763001212,0.7327141382868937,7215,3.389999807782454e-05
0.1,2,0.7945305979550142,0.7347781217750258,7215,3.389999807782454e-05
0.1,3,0.7981256091791472,0.7275541795665634,7215,3.389999807782454e-05
0.1,4,0.7899587600680869,0.7285861713106295,7215,3.389999807782454e-05
0.1,5,0.7953623654751569,0.7285861713106295,7215,3.389999807782454e-05
0.1,6,0.8029730517522851,0.7296181630546955,7215,3.389999807782454e-05
0.1,7,0.7902307888768678,0.739938080495356,7215,3.389999807782454e-05
0.1,8,0.7975942383827476,0.7316821465428277,7215,3.389999807782454e-05
0.1,9,0.7826265344264072,0.7306501547987616,7215,3.389999807782454e-05
0.1,10,0.7964904382170536,0.7368421052631579,7215,3.389999807782454e-05
0.1,11,0.7851593444910213,0.7337461300309598,7215,3.389999807782454e-05
0.1,12,0.7918752981115612,0.7296181630546955,7215,3.389999807782454e-05
0.1,13,0.7946770180288893,0.7296181630546955,7215,3.389999807782454e-05
0.1,14,0.7902257885129215,0.7316821465428277,7215,3.389999807782454e-05
0.1,15,0.7964143022607431,0.7296181630546955,7215,3.389999807782454e-05
0.1,16,0.7820120147252335,0.7389060887512899,7215,3.389999807782454e-05
0.1,17,0.7861039124586681,0.7327141382868937,7215,3.389999807782454e-05
0.1,18,0.7829603560116619,0.737874097007224,7215,3.389999807782454e-05
0.1,19,0.7841946397416765,0.7275541795665634,7215,3.389999807782454e-05
0.1,20,0.789174655564049,0.7296181630546955,7215,3.389999807782454e-05
0.1,21,0.7800731103623664,0.7337461300309598,7215,3.389999807782454e-05
0.1,22,0.7957828861929863,0.7316821465428277,7215,3.389999807782454e-05
0.1,23,0.7891933736996274,0.7285861713106295,7215,3.389999807782454e-05
0.1,24,0.7925119928336605,0.7254901960784313,7215,3.389999807782454e-05
0.1,25,0.7843649658221715,0.7285861713106295,7215,3.389999807782454e-05
0.1,26,0.7912979125225096,0.7306501547987616,7215,3.389999807782454e-05
0.1,27,0.7874352775776317,0.7265221878224974,7215,3.389999807782454e-05
0.1,28,0.782906580543864,0.7337461300309598,7215,3.389999807782454e-05
0.1,29,0.7830557622359434,0.7316821465428277,7215,3.389999807782454e-05
0.2,0,0.7896581368477573,0.7368421052631579,6415,4.705382065258975e-05
0.2,1,0.7888737251133991,0.7327141382868937,6415,4.705382065258975e-05
0.2,2,0.7921823367523082,0.7327141382868937,6415,4.705382065258975e-05
0.2,3,0.8046684464868146,0.7347781217750258,6415,4.705382065258975e-05
0.2,4,0.7938703438624097,0.7296181630546955,6415,4.705382065258975e-05
0.2,5,0.7891335627645925,0.7265221878224974,6415,4.705382065258975e-05
0.2,6,0.7985615325053415,0.7316821465428277,6415,4.705382065258975e-05
0.2,7,0.7851944204178924,0.7316821465428277,6415,4.705382065258975e-05
0.2,8,0.7937995706505533,0.7296181630546955,6415,4.705382065258975e-05
0.2,9,0.7764612699313387,0.737874097007224,6415,4.705382065258975e-05
0.2,10,0.7864386253180247,0.7337461300309598,6415,4.705382065258975e-05
0.2,11,0.7936324746826662,0.7389060887512899,6415,4.705382065258975e-05
0.2,12,0.7998645080725779,0.7327141382868937,6415,4.705382065258975e-05
0.2,13,0.7849105106982273,0.7285861713106295,6415,4.705382065258975e-05
0.2,14,0.8001926718017717,0.739938080495356,6415,4.705382065258975e-05
0.2,15,0.7902296868358569,0.7327141382868937,6415,4.705382065258975e-05
0.2,16,0.7979691588074789,0.7327141382868937,6415,4.705382065258975e-05
0.2,17,0.7827174108611151,0.7316821465428277,6415,4.705382065258975e-05
0.2,18,0.7951357216927386,0.7306501547987616,6415,4.705382065258975e-05
0.2,19,0.7977278550781814,0.7316821465428277,6415,4.705382065258975e-05
0.2,20,0.7842054901734062,0.7306501547987616,6415,4.705382065258975e-05
0.2,21,0.7932414294995217,0.7296181630546955,6415,4.705382065258975e-05
0.2,22,0.7894554530266682,0.7306501547987616,6415,4.705382065258975e-05
0.2,23,0.7802174702659145,0.7409700722394221,6415,4.705382065258975e-05
0.2,24,0.7946729575790903,0.7316821465428277,6415,4.705382065258975e-05
0.2,25,0.784233120239668,0.7327141382868937,6415,4.705382065258975e-05
0.2,26,0.793490939049248,0.7285861713106295,6415,4.705382065258975e-05
0.2,27,0.78638386330345,0.7368421052631579,6415,4.705382065258975e-05
0.2,28,0.7947913202214625,0.7275541795665634,6415,4.705382065258975e-05
0.2,29,0.8043403057742592,0.7358101135190919,6415,4.705382065258975e-05
0.3,0,0.807840134177439,0.7265221878224974,5612,0.00013558581544500118
0.3,1,0.7882620598671615,0.739938080495356,5612,0.00013558581544500118
0.3,2,0.8147888046516457,0.7265221878224974,5612,0.00013558581544500118
0.3,3,0.7946697000826567,0.7337461300309598,5612,0.00013558581544500118
0.3,4,0.7987590220782639,0.7316821465428277,5612,0.00013558581544500118
0.3,5,0.7961080250036523,0.7327141382868937,5612,0.00013558581544500118
0.3,6,0.7900396735637716,0.7337461300309598,5612,0.00013558581544500118
0.3,7,0.7802368913485709,0.7347781217750258,5612,0.00013558581544500118
0.3,8,0.7821645418857289,0.7327141382868937,5612,0.00013558581544500118
0.3,9,0.7964844403978448,0.7316821465428277,5612,0.00013558581544500118
0.3,10,0.809871088696333,0.7254901960784313,5612,0.00013558581544500118
0.3,11,0.8080573490941697,0.7347781217750258,5612,0.00013558581544500118
0.3,12,0.7927742505013523,0.7347781217750258,5612,0.00013558581544500118
0.3,13,0.793615713312172,0.7306501547987616,5612,0.00013558581544500118
0.3,14,0.8134604563965242,0.7265221878224974,5612,0.00013558581544500118
0.3,15,0.8092945561606432,0.7265221878224974,5612,0.00013558581544500118
0.3,16,0.8002034799604466,0.7347781217750258,5612,0.00013558581544500118
0.3,17,0.7917735782677628,0.7450980392156863,5612,0.00013558581544500118
0.3,18,0.797558705989475,0.7327141382868937,5612,0.00013558581544500118
0.3,19,0.8001681252128947,0.7265221878224974,5612,0.00013558581544500118
0.3,20,0.776747881350266,0.7316821465428277,5612,0.00013558581544500118
0.3,21,0.8127794254330292,0.7285861713106295,5612,0.00013558581544500118
0.3,22,0.8180701252705788,0.7347781217750258,5612,0.00013558581544500118
0.3,23,0.7948419418421032,0.7296181630546955,5612,0.00013558581544500118
0.3,24,0.790160452977339,0.7275541795665634,5612,0.00013558581544500118
0.3,25,0.7957374823651169,0.7327141382868937,5612,0.00013558581544500118
0.3,26,0.7767048824601399,0.737874097007224,5612,0.00013558581544500118
0.3,27,0.7820784153093474,0.7316821465428277,5612,0.00013558581544500118
0.3,28,0.7869439246178626,0.7327141382868937,5612,0.00013558581544500118
0.3,29,0.8105470031122194,0.7244582043343654,5612,0.00013558581544500118
0.4,0,0.8092505875680521,0.7203302373581011,4810,0.00016868536714653736
0.4,1,0.8109674471183383,0.7337461300309598,4810,0.00016868536714653736
0.4,2,0.8332669077112279,0.7234262125902993,4810,0.00016868536714653736
0.4,3,0.7911735116019238,0.7358101135190919,4810,0.00016868536714653736
0.4,4,0.8170748907189646,0.7327141382868937,4810,0.00016868536714653736
0.4,5,0.7985571106199024,0.7358101135190919,4810,0.00016868536714653736
0.4,6,0.7988679914338851,0.7368421052631579,4810,0.00016868536714653736
0.4,7,0.8098980550626416,0.7347781217750258,4810,0.00016868536714653736
0.4,8,0.8043811785710532,0.7358101135190919,4810,0.00016868536714653736
0.4,9,0.8162777057631456,0.7368421052631579,4810,0.00016868536714653736
0.4,10,0.7854129108998583,0.739938080495356,4810,0.00016868536714653736
0.4,11,0.8136759875739481,0.737874097007224,4810,0.00016868536714653736
0.4,12,0.7930097263376635,0.7254901960784313,4810,0.00016868536714653736
0.4,13,0.8053810109894994,0.7389060887512899,4810,0.00016868536714653736
0.4,14,0.7953425932375013,0.7389060887512899,4810,0.00016868536714653736
0.4,15,0.7869763378848903,0.7316821465428277,4810,0.00016868536714653736
0.4,16,0.8012683844109987,0.7296181630546955,4810,0.00016868536714653736
0.4,17,0.7929367864847463,0.7347781217750258,4810,0.00016868536714653736
0.4,18,0.8000783888959978,0.7358101135190919,4810,0.00016868536714653736
0.4,19,0.8038779341822804,0.7285861713106295,4810,0.00016868536714653736
0.4,20,0.802010570828678,0.7254901960784313,4810,0.00016868536714653736
0.4,21,0.7969363905246484,0.7296181630546955,4810,0.00016868536714653736
0.4,22,0.8081946879482569,0.7296181630546955,4810,0.00016868536714653736
0.4,23,0.8225822953331574,0.737874097007224,4810,0.00016868536714653736
0.4,24,0.801200798701383,0.7285861713106295,4810,0.00016868536714653736
0.4,25,0.8211825383739069,0.7285861713106295,4810,0.00016868536714653736
0.4,26,0.8289910633436873,0.7306501547987616,4810,0.00016868536714653736
0.4,27,0.8337807330034048,0.7223942208462333,4810,0.00016868536714653736
0.4,28,0.8005232545982084,0.7234262125902993,4810,0.00016868536714653736
0.4,29,0.8214705505413282,0.7316821465428277,4810,0.00016868536714653736
0.5,0,0.8063101756388421,0.7275541795665634,4009,0.00025493435201631004
0.5,1,0.8256560529446348,0.7275541795665634,4009,0.00025493435201631004
0.5,2,0.8179290504208613,0.7368421052631579,4009,0.00025493435201631004
0.5,3,0.8277328698471615,0.737874097007224,4009,0.00025493435201631004
0.5,4,0.8277251928324548,0.7192982456140351,4009,0.00025493435201631004
0.5,5,0.814878452878248,0.7306501547987616,4009,0.00025493435201631004
0.5,6,0.8355363927519879,0.7234262125902993,4009,0.00025493435201631004
0.5,7,0.830924437295069,0.7358101135190919,4009,0.00025493435201631004
0.5,8,0.80185169288391,0.7223942208462333,4009,0.00025493435201631004
