delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7603261962696325,0.8142414860681114,8017,5.361037016006631e-06
0.0,1,0.7652918762082696,0.8163054695562435,8017,5.361037016006631e-06
0.0,2,0.7653755243375298,0.8163054695562435,8017,5.361037016006631e-06
0.0,3,0.7601717751964383,0.8142414860681114,8017,5.361037016006631e-06
0.0,4,0.7602892784576143,0.8121775025799793,8017,5.361037016006631e-06
0.0,5,0.7590789451824439,0.8142414860681114,8017,5.361037016006631e-06
0.0,6,0.7630243874846836,0.8152734778121775,8017,5.361037016006631e-06
0.0,7,0.7631561075293929,0.8142414860681114,8017,5.361037016006631e-06
0.0,8,0.7651346596502523,0.8142414860681114,8017,5.361037016006631e-06
0.0,9,0.7596521499945098,0.8142414860681114,8017,5.361037016006631e-06
0.0,10,0.7618328553608564,0.8152734778121775,8017,5.361037016006631e-06
0.0,11,0.7605530242220068,0.8152734778121775,8017,5.361037016006631e-06
0.0,12,0.761866179263383,0.8152734778121775,8017,5.361037016006631e-06
0.0,13,0.7632308677334891,0.8132094943240454,8017,5.361037016006631e-06
0.0,14,0.7596002934663373,0.8132094943240454,8017,5.361037016006631e-06
0.0,15,0.765045614878656,0.8152734778121775,8017,5.361037016006631e-06
0.0,16,0.7610104216841527,0.8142414860681114,8017,5.361037016006631e-06
0.0,17,0.7646467125117059,0.8142414860681114,8017,5.361037016006631e-06
0.0,18,0.7597091442425595,0.8142414860681114,8017,5.361037016006631e-06
0.0,19,0.7653679469412185,0.8152734778121775,8017,5.361037016006631e-06
0.0,20,0.7598719214469246,0.8142414860681114,8017,5.361037016006631e-06
0.0,21,0.7643031077679048,0.8173374613003096,8017,5.361037016006631e-06
0.0,22,0.7646477919226484,0.8163054695562435,8017,5.361037016006631e-06
0.0,23,0.7602533376084961,0.8132094943240454,8017,5.361037016006631e-06
0.0,24,0.7653637030059698,0.8163054695562435,8017,5.361037016006631e-06
0.0,25,0.7616683462484025,0.8142414860681114,8017,5.361037016006631e-06
0.0,26,0.7617751959787241,0.8152734778121775,8017,5.361037016006631e-06
0.0,27,0.7605809972415747,0.8163054695562435,8017,5.361037016006631e-06
0.0,28,0.7626341417227992,0.8152734778121775,8017,5.361037016006631e-06
0.0,29,0.7574026434562063,0.8111455108359134,8017,5.361037016006631e-06
0.1,0,0.7605963466515855,0.8163054695562435,7215,0.00016063611485497639
0.1,1,0.7841399047881982,0.8132094943240454,7215,0.00016063611485497639
0.1,2,0.7595844822537013,0.8142414860681114,7215,0.00016063611485497639
0.1,3,0.7489553900906699,0.8152734778121775,7215,0.00016063611485497639
0.1,4,0.7850034781597341,0.8090815273477813,7215,0.00016063611485497639
0.1,5,0.7998157466850766,0.8194014447884417,7215,0.00016063611485497639
0.1,6,0.7929167344651434,0.8111455108359134,7215,0.00016063611485497639
0.1,7,0.7750537630514865,0.8173374613003096,7215,0.00016063611485497639
0.1,8,0.757073835080479,0.8142414860681114,7215,0.00016063611485497639
0.1,9,0.7692504590482347,0.8132094943240454,7215,0.00016063611485497639
0.1,10,0.7858251846732698,0.8163054695562435,7215,0.00016063611485497639
0.1,11,0.778249501293734,0.8121775025799793,7215,0.00016063611485497639
0.1,12,0.7657996792942283,0.8194014447884417,7215,0.00016063611485497639
0.1,13,0.7495554096472159,0.8183694530443757,7215,0.00016063611485497639
0.1,14,0.7681044238653005,0.8132094943240454,7215,0.00016063611485497639
0.1,15,0.770545382912168,0.8132094943240454,7215,0.00016063611485497639
0.1,16,0.7801599650659312,0.8111455108359134,7215,0.00016063611485497639
0.1,17,0.7691322779531873,0.8173374613003096,7215,0.00016063611485497639
0.1,18,0.7628726151127487,0.8194014447884417,7215,0.00016063611485497639
0.1,19,0.7765137953771712,0.8152734778121775,7215,0.00016063611485497639
0.1,20,0.7770904458755626,0.8173374613003096,7215,0.00016063611485497639
0.1,21,0.7997253105789002,0.8142414860681114,7215,0.00016063611485497639
0.1,22,0.7815191445126659,0.8090815273477813,7215,0.00016063611485497639
0.1,23,0.7726876455533012,0.8111455108359134,7215,0.00016063611485497639
0.1,24,0.7672320842165052,0.8090815273477813,7215,0.00016063611485497639
0.1,25,0.777617551901756,0.8183694530443757,7215,0.00016063611485497639
0.1,26,0.7722736089074169,0.8152734778121775,7215,0.00016063611485497639
0.1,27,0.782981878774258,0.8111455108359134,7215,0.00016063611485497639
0.1,28,0.7652004638950173,0.8163054695562435,7215,0.00016063611485497639
0.1,29,0.7646262891104589,0.8152734778121775,7215,0.00016063611485497639
0.2,0,0.7865970748694564,0.8142414860681114,6415,0.00037144447063125875
0.2,1,0.7731940851382966,0.8090815273477813,6415,0.00037144447063125875
0.2,2,0.7649849539299397,0.8132094943240454,6415,0.00037144447063125875
0.2,3,0.7872583354285233,0.8204334365325078,6415,0.00037144447063125875
0.2,4,0.7575753653817116,0.8183694530443757,6415,0.00037144447063125875
0.2,5,0.7849740658755846,0.8132094943240454,6415,0.00037144447063125875
0.2,6,0.7645575687827584,0.8142414860681114,6415,0.00037144447063125875
0.2,7,0.8012183266228655,0.8111455108359134,6415,0.00037144447063125875
0.2,8,0.798968511957627,0.8204334365325078,6415,0.00037144447063125875
0.2,9,0.8000374837244849,0.8132094943240454,6415,0.00037144447063125875
0.2,10,0.7764929726670362,0.8163054695562435,6415,0.00037144447063125875
0.2,11,0.7694690285112528,0.8152734778121775,6415,0.00037144447063125875
0.2,12,0.7704991465109494,0.8214654282765738,6415,0.00037144447063125875
0.2,13,0.7690126438384787,0.8183694530443757,6415,0.00037144447063125875
0.2,14,0.7952337764586845,0.8194014447884417,6415,0.00037144447063125875
0.2,15,0.7797227978293712,0.8194014447884417,6415,0.00037144447063125875
0.2,16,0.7951600240166684,0.8090815273477813,6415,0.00037144447063125875
0.2,17,0.7698857815509483,0.8090815273477813,6415,0.00037144447063125875
0.2,18,0.7779340930861478,0.8183694530443757,6415,0.00037144447063125875
0.2,19,0.7891081241797562,0.8090815273477813,6415,0.00037144447063125875
0.2,20,0.7698940776289998,0.8121775025799793,6415,0.00037144447063125875
0.2,21,0.8163429551488676,0.8142414860681114,6415,0.00037144447063125875
0.2,22,0.7490019317429168,0.8183694530443757,6415,0.00037144447063125875
0.2,23,0.7683834628454402,0.8163054695562435,6415,0.00037144447063125875
0.2,24,0.7737694900051704,0.8132094943240454,6415,0.00037144447063125875
0.2,25,0.801534982924256,0.8121775025799793,6415,0.00037144447063125875
0.2,26,0.8450540473902591,0.8173374613003096,6415,0.00037144447063125875
0.2,27,0.7779704877697224,0.8090815273477813,6415,0.00037144447063125875
0.2,28,0.7787973597196047,0.8080495356037152,6415,0.00037144447063125875
0.2,29,0.8018992531698577,0.8101135190918473,6415,0.00037144447063125875
0.3,0,0.7946686218300781,0.8173374613003096,5612,0.00042595750652532724
0.3,1,0.7880464791792156,0.8173374613003096,5612,0.00042595750652532724
0.3,2,0.8117345280370937,0.8142414860681114,5612,0.00042595750652532724
0.3,3,0.7777032152736784,0.8090815273477813,5612,0.00042595750652532724
0.3,4,0.8178485056975439,0.8101135190918473,5612,0.00042595750652532724
0.3,5,0.7614479365755331,0.8101135190918473,5612,0.00042595750652532724
0.3,6,0.7617146494678406,0.8214654282765738,5612,0.00042595750652532724
0.3,7,0.7611992855878018,0.8183694530443757,5612,0.00042595750652532724
0.3,8,0.7609824931107261,0.8132094943240454,5612,0.00042595750652532724
0.3,9,0.824746233040774,0.8132094943240454,5612,0.00042595750652532724
0.3,10,0.775925804618449,0.8173374613003096,5612,0.00042595750652532724
0.3,11,0.8049644648969679,0.8194014447884417,5612,0.00042595750652532724
0.3,12,0.7976236967184193,0.8163054695562435,5612,0.00042595750652532724
0.3,13,0.7736651566377132,0.8152734778121775,5612,0.00042595750652532724
0.3,14,0.7683854643028716,0.8132094943240454,5612,0.00042595750652532724
0.3,15,0.7730645544065113,0.8070175438596491,5612,0.00042595750652532724
0.3,16,0.7878604817898429,0.8204334365325078,5612,0.00042595750652532724
0.3,17,0.7954115612218517,0.8121775025799793,5612,0.00042595750652532724
0.3,18,0.7794968609591786,0.8132094943240454,5612,0.00042595750652532724
0.3,19,0.7715843077780971,0.8121775025799793,5612,0.00042595750652532724
0.3,20,0.795236537950771,0.8183694530443757,5612,0.00042595750652532724
0.3,21,0.755906230112675,0.8132094943240454,5612,0.00042595750652532724
0.3,22,0.8216492674005702,0.8142414860681114,5612,0.00042595750652532724
0.3,23,0.8144058327156423,0.8194014447884417,5612,0.00042595750652532724
0.3,24,0.7512349723821647,0.8173374613003096,5612,0.00042595750652532724
0.3,25,0.8062840216308483,0.8214654282765738,5612,0.00042595750652532724
