delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7603317237197867,0.7327141382868937,8017,3.939286658725247e-06
0.0,1,0.7599157713820843,0.7296181630546955,8017,3.939286658725247e-06
0.0,2,0.7603417495599322,0.7327141382868937,8017,3.939286658725247e-06
0.0,3,0.760255157799784,0.7327141382868937,8017,3.939286658725247e-06
0.0,4,0.7607219770682805,0.7347781217750258,8017,3.939286658725247e-06
0.0,5,0.7587642956399588,0.7327141382868937,8017,3.939286658725247e-06
0.0,6,0.7610189920545815,0.7327141382868937,8017,3.939286658725247e-06
0.0,7,0.7546740348981247,0.7316821465428277,8017,3.939286658725247e-06
0.0,8,0.7609491053093107,0.7316821465428277,8017,3.939286658725247e-06
0.0,9,0.7582331401727632,0.7316821465428277,8017,3.939286658725247e-06
0.0,10,0.7602255023716671,0.7327141382868937,8017,3.939286658725247e-06
0.0,11,0.7618537658374924,0.7327141382868937,8017,3.939286658725247e-06
0.0,12,0.7623603411060732,0.7347781217750258,8017,3.939286658725247e-06
0.0,13,0.7578713480245818,0.7306501547987616,8017,3.939286658725247e-06
0.0,14,0.7595529148657731,0.7337461300309598,8017,3.939286658725247e-06
0.0,15,0.7610268209111222,0.7306501547987616,8017,3.939286658725247e-06
0.0,16,0.7576371074869933,0.7347781217750258,8017,3.939286658725247e-06
0.0,17,0.7596106943705775,0.7316821465428277,8017,3.939286658725247e-06
0.0,18,0.7603781832108498,0.7327141382868937,8017,3.939286658725247e-06
0.0,19,0.7586097364691968,0.7337461300309598,8017,3.939286658725247e-06
0.0,20,0.7626914620856386,0.7337461300309598,8017,3.939286658725247e-06
0.0,21,0.7610146579476977,0.7337461300309598,8017,3.939286658725247e-06
0.0,22,0.7575695997719681,0.7306501547987616,8017,3.939286658725247e-06
0.0,23,0.7562661575062104,0.7337461300309598,8017,3.939286658725247e-06
0.0,24,0.7601020096600578,0.7316821465428277,8017,3.939286658725247e-06
0.0,25,0.7600954334074819,0.7316821465428277,8017,3.939286658725247e-06
0.0,26,0.7615635083055263,0.7316821465428277,8017,3.939286658725247e-06
0.0,27,0.7554823332445102,0.7337461300309598,8017,3.939286658725247e-06
0.0,28,0.7583667082756294,0.7327141382868937,8017,3.939286658725247e-06
0.0,29,0.7623629753713221,0.7347781217750258,8017,3.939286658725247e-06
0.1,0,0.7605212874780345,0.7275541795665634,7215,2.6303472698604416e-05
0.1,1,0.7664281608299452,0.7275541795665634,7215,2.6303472698604416e-05
0.1,2,0.7628417877320697,0.7306501547987616,7215,2.6303472698604416e-05
0.1,3,0.7771120748871979,0.7327141382868937,7215,2.6303472698604416e-05
0.1,4,0.758546761787854,0.7296181630546955,7215,2.6303472698604416e-05
0.1,5,0.7696018208788831,0.7306501547987616,7215,2.6303472698604416e-05
0.1,6,0.7702891309206289,0.7316821465428277,7215,2.6303472698604416e-05
0.1,7,0.7678684947343196,0.7296181630546955,7215,2.6303472698604416e-05
0.1,8,0.7643362821697068,0.7368421052631579,7215,2.6303472698604416e-05
0.1,9,0.7606620978167603,0.7337461300309598,7215,2.6303472698604416e-05
0.1,10,0.7626197054549478,0.7337461300309598,7215,2.6303472698604416e-05
0.1,11,0.7621769888107573,0.7296181630546955,7215,2.6303472698604416e-05
0.1,12,0.7589828569637993,0.7306501547987616,7215,2.6303472698604416e-05
0.1,13,0.7657939979025806,0.7306501547987616,7215,2.6303472698604416e-05
0.1,14,0.7703844010741625,0.7327141382868937,7215,2.6303472698604416e-05
0.1,15,0.7625241709660084,0.7347781217750258,7215,2.6303472698604416e-05
0.1,16,0.7582106561467903,0.7296181630546955,7215,2.6303472698604416e-05
0.1,17,0.767833558457038,0.7347781217750258,7215,2.6303472698604416e-05
0.1,18,0.7640317666316954,0.7275541795665634,7215,2.6303472698604416e-05
0.1,19,0.7664176307250853,0.7306501547987616,7215,2.6303472698604416e-05
0.1,20,0.75564717682788,0.7358101135190919,7215,2.6303472698604416e-05
0.1,21,0.7572644589709777,0.737874097007224,7215,2.6303472698604416e-05
0.1,22,0.7654503291340612,0.737874097007224,7215,2.6303472698604416e-05
0.1,23,0.7564461702490809,0.7347781217750258,7215,2.6303472698604416e-05
0.1,24,0.765322224601163,0.7306501547987616,7215,2.6303472698604416e-05
0.1,25,0.758238692501634,0.7347781217750258,7215,2.6303472698604416e-05
0.1,26,0.7558563290294565,0.7265221878224974,7215,2.6303472698604416e-05
0.1,27,0.767144125548911,0.7275541795665634,7215,2.6303472698604416e-05
0.1,28,0.7575210377142321,0.7285861713106295,7215,2.6303472698604416e-05
0.1,29,0.7638655625514016,0.7358101135190919,7215,2.6303472698604416e-05
0.2,0,0.7625601621799373,0.7316821465428277,6415,3.5712658285576046e-05
0.2,1,0.7691760443569811,0.7316821465428277,6415,3.5712658285576046e-05
0.2,2,0.7638078475809643,0.7275541795665634,6415,3.5712658285576046e-05
0.2,3,0.768010112549483,0.7296181630546955,6415,3.5712658285576046e-05
0.2,4,0.7620518070614137,0.7296181630546955,6415,3.5712658285576046e-05
0.2,5,0.7637767409901988,0.7327141382868937,6415,3.5712658285576046e-05
0.2,6,0.7694347504628508,0.7244582043343654,6415,3.5712658285576046e-05
0.2,7,0.7619415836769698,0.7316821465428277,6415,3.5712658285576046e-05
0.2,8,0.7629056187837341,0.7306501547987616,6415,3.5712658285576046e-05
0.2,9,0.7600956579711824,0.7409700722394221,6415,3.5712658285576046e-05
0.2,10,0.7653857114603126,0.7275541795665634,6415,3.5712658285576046e-05
0.2,11,0.7722175700023035,0.7285861713106295,6415,3.5712658285576046e-05
0.2,12,0.771636301416207,0.7337461300309598,6415,3.5712658285576046e-05
0.2,13,0.758762082643454,0.7275541795665634,6415,3.5712658285576046e-05
0.2,14,0.7665615602948164,0.7275541795665634,6415,3.5712658285576046e-05
0.2,15,0.7638777543035336,0.7316821465428277,6415,3.5712658285576046e-05
0.2,16,0.7745237441281008,0.7327141382868937,6415,3.5712658285576046e-05
0.2,17,0.7499010759100864,0.737874097007224,6415,3.5712658285576046e-05
0.2,18,0.7668616504871788,0.7285861713106295,6415,3.5712658285576046e-05
0.2,19,0.7683427666684199,0.7316821465428277,6415,3.5712658285576046e-05
0.2,20,0.7544304117982872,0.7306501547987616,6415,3.5712658285576046e-05
0.2,21,0.7691648051887567,0.7275541795665634,6415,3.5712658285576046e-05
0.2,22,0.7629149803992984,0.7337461300309598,6415,3.5712658285576046e-05
0.2,23,0.7598439102876261,0.7347781217750258,6415,3.5712658285576046e-05
0.2,24,0.7737823291510644,0.7296181630546955,6415,3.5712658285576046e-05
0.2,25,0.7692264789902792,0.7265221878224974,6415,3.5712658285576046e-05
0.2,26,0.7521935815618589,0.7285861713106295,6415,3.5712658285576046e-05
0.2,27,0.7636090414892246,0.7389060887512899,6415,3.5712658285576046e-05
0.2,28,0.7712025532990848,0.7265221878224974,6415,3.5712658285576046e-05
0.2,29,0.7668327508838061,0.7316821465428277,6415,3.5712658285576046e-05
0.3,0,0.778184378016363,0.7234262125902993,5612,0.00011400976142176662
0.3,1,0.7773723895064643,0.7244582043343654,5612,0.00011400976142176662
0.3,2,0.774994868526495,0.7337461300309598,5612,0.00011400976142176662
0.3,3,0.7715966408219516,0.7337461300309598,5612,0.00011400976142176662
0.3,4,0.7690025813531255,0.7327141382868937,5612,0.00011400976142176662
0.3,5,0.7752218795612146,0.7327141382868937,5612,0.00011400976142176662
0.3,6,0.7793873932835232,0.7285861713106295,5612,0.00011400976142176662
0.3,7,0.7500373756890638,0.7358101135190919,5612,0.00011400976142176662
0.3,8,0.7638206477673481,0.7347781217750258,5612,0.00011400976142176662
0.3,9,0.7731791329850427,0.7306501547987616,5612,0.00011400976142176662
0.3,10,0.789755279361427,0.7316821465428277,5612,0.00011400976142176662
0.3,11,0.7794629596847341,0.7265221878224974,5612,0.00011400976142176662
0.3,12,0.7669370732279382,0.7285861713106295,5612,0.00011400976142176662
0.3,13,0.7731798150129662,0.7347781217750258,5612,0.00011400976142176662
0.3,14,0.7844977452289569,0.7306501547987616,5612,0.00011400976142176662
0.3,15,0.7731597228868375,0.7306501547987616,5612,0.00011400976142176662
0.3,16,0.7745111570215627,0.7223942208462333,5612,0.00011400976142176662
0.3,17,0.763379266808015,0.7337461300309598,5612,0.00011400976142176662
0.3,18,0.7766398407720638,0.7234262125902993,5612,0.00011400976142176662
0.3,19,0.7691815710606676,0.7316821465428277,5612,0.00011400976142176662
0.3,20,0.7610079213909617,0.7275541795665634,5612,0.00011400976142176662
0.3,21,0.7814065976444675,0.7347781217750258,5612,0.00011400976142176662
0.3,22,0.7792202527699044,0.7265221878224974,5612,0.00011400976142176662
0.3,23,0.7679151188320942,0.7234262125902993,5612,0.00011400976142176662
0.3,24,0.7738526585505217,0.7244582043343654,5612,0.00011400976142176662
0.3,25,0.7629722195463111,0.7327141382868937,5612,0.00011400976142176662
0.3,26,0.7573503507537098,0.7296181630546955,5612,0.00011400976142176662
0.3,27,0.7606347052927238,0.7316821465428277,5612,0.00011400976142176662
0.3,28,0.7631630450990471,0.7306501547987616,5612,0.00011400976142176662
0.3,29,0.8061280254009767,0.7213622291021672,5612,0.00011400976142176662
0.4,0,0.7708220017632674,0.7316821465428277,4810,0.00019758244703085243
0.4,1,0.7718878533652443,0.7285861713106295,4810,0.00019758244703085243
0.4,2,0.7861778683879803,0.7389060887512899,4810,0.00019758244703085243
0.4,3,0.7580718655011934,0.7337461300309598,4810,0.00019758244703085243
0.4,4,0.8042997974439724,0.7151702786377709,4810,0.00019758244703085243
0.4,5,0.7614143095475276,0.7285861713106295,4810,0.00019758244703085243
0.4,6,0.7581594763877401,0.7316821465428277,4810,0.00019758244703085243
0.4,7,0.7641502465810169,0.7368421052631579,4810,0.00019758244703085243
0.4,8,0.785970115079721,0.7265221878224974,4810,0.00019758244703085243
0.4,9,0.8006969766570862,0.7285861713106295,4810,0.00019758244703085243
0.4,10,0.7619948122366206,0.7327141382868937,4810,0.00019758244703085243
0.4,11,0.7804084807055847,0.7316821465428277,4810,0.00019758244703085243
0.4,12,0.7812705940437372,0.7213622291021672,4810,0.00019758244703085243
0.4,13,0.7585991487625363,0.7358101135190919,4810,0.00019758244703085243
0.4,14,0.7617935725689323,0.7327141382868937,4810,0.00019758244703085243
0.4,15,0.7777504609851507,0.7254901960784313,4810,0.00019758244703085243
0.4,16,0.7709022384316332,0.7285861713106295,4810,0.00019758244703085243
0.4,17,0.7501529280383129,0.7316821465428277,4810,0.00019758244703085243
0.4,18,0.7768816898704208,0.7316821465428277,4810,0.00019758244703085243
0.4,19,0.7813227404813727,0.7327141382868937,4810,0.00019758244703085243
0.4,20,0.7743018546202587,0.7296181630546955,4810,0.00019758244703085243
0.4,21,0.7725122943215886,0.7275541795665634,4810,0.00019758244703085243
0.4,22,0.7997122686422274,0.7265221878224974,4810,0.00019758244703085243
0.4,23,0.79007226930183,0.7389060887512899,4810,0.00019758244703085243
0.4,24,0.7673142621279233,0.7234262125902993,4810,0.00019758244703085243
0.4,25,0.7896249756832002,0.7275541795665634,4810,0.00019758244703085243
0.4,26,0.7995613298302695,0.7275541795665634,4810,0.00019758244703085243
0.4,27,0.7738842734471261,0.7347781217750258,4810,0.00019758244703085243
0.4,28,0.7787612268073061,0.7306501547987616,4810,0.00019758244703085243
0.4,29,0.7777022456811826,0.7337461300309598,4810,0.00019758244703085243
0.5,0,0.7864885066184654,0.7234262125902993,4009,0.00010526611387758448
0.5,1,0.7822283434689692,0.7254901960784313,4009,0.00010526611387758448
0.5,2,0.7854964835565457,0.7306501547987616,4009,0.00010526611387758448
0.5,3,0.7905485545652077,0.7254901960784313,4009,0.00010526611387758448
0.5,4,0.7971291550526876,0.7265221878224974,4009,0.00010526611387758448
0.5,5,0.7742103928505226,0.739938080495356,4009,0.00010526611387758448
0.5,6,0.8062373083599513,0.7316821465428277,4009,0.00010526611387758448
