delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7727777403145217,0.7471620227038184,8017,1.9291646875871806e-06
0.0,1,0.7737157539129865,0.7440660474716202,8017,1.9291646875871806e-06
0.0,2,0.7720482480922176,0.7430340557275542,8017,1.9291646875871806e-06
0.0,3,0.771539824382403,0.7450980392156863,8017,1.9291646875871806e-06
0.0,4,0.7739872700997521,0.7420020639834881,8017,1.9291646875871806e-06
0.0,5,0.7723993862622938,0.7440660474716202,8017,1.9291646875871806e-06
0.0,6,0.7733074864202122,0.7461300309597523,8017,1.9291646875871806e-06
0.0,7,0.7701312224827775,0.7461300309597523,8017,1.9291646875871806e-06
0.0,8,0.7725849272309335,0.7430340557275542,8017,1.9291646875871806e-06
0.0,9,0.7727796235638673,0.7440660474716202,8017,1.9291646875871806e-06
0.0,10,0.7728757089882976,0.7430340557275542,8017,1.9291646875871806e-06
0.0,11,0.7742872379987458,0.7440660474716202,8017,1.9291646875871806e-06
0.0,12,0.770079568764013,0.7430340557275542,8017,1.9291646875871806e-06
0.0,13,0.7725342401901226,0.7440660474716202,8017,1.9291646875871806e-06
0.0,14,0.7722891094141768,0.7440660474716202,8017,1.9291646875871806e-06
0.0,15,0.7748424272349809,0.7440660474716202,8017,1.9291646875871806e-06
0.0,16,0.771795555941059,0.7440660474716202,8017,1.9291646875871806e-06
0.0,17,0.7729139841138399,0.7430340557275542,8017,1.9291646875871806e-06
0.0,18,0.7712023840452605,0.7461300309597523,8017,1.9291646875871806e-06
0.0,19,0.7720915028762385,0.7440660474716202,8017,1.9291646875871806e-06
0.0,20,0.7735673038172616,0.7420020639834881,8017,1.9291646875871806e-06
0.0,21,0.7732811490746093,0.7420020639834881,8017,1.9291646875871806e-06
0.0,22,0.769216513908575,0.7409700722394221,8017,1.9291646875871806e-06
0.0,23,0.7732527275045239,0.7430340557275542,8017,1.9291646875871806e-06
0.0,24,0.7731104813902482,0.7420020639834881,8017,1.9291646875871806e-06
0.0,25,0.7690810983726466,0.7461300309597523,8017,1.9291646875871806e-06
0.0,26,0.7716718821480147,0.7440660474716202,8017,1.9291646875871806e-06
0.0,27,0.7719145141422216,0.7440660474716202,8017,1.9291646875871806e-06
0.0,28,0.7715256336474425,0.7430340557275542,8017,1.9291646875871806e-06
0.0,29,0.7735202848845257,0.7440660474716202,8017,1.9291646875871806e-06
