delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7563820281548504,0.7409700722394221,8017,1.0612277949066193e-06
0.0,1,0.7551613832084866,0.7409700722394221,8017,1.0612277949066193e-06
0.0,2,0.7551518431676407,0.739938080495356,8017,1.0612277949066193e-06
0.0,3,0.7571615207541564,0.7409700722394221,8017,1.0612277949066193e-06
0.0,4,0.7570412649140984,0.7420020639834881,8017,1.0612277949066193e-06
0.0,5,0.7562177258056635,0.739938080495356,8017,1.0612277949066193e-06
0.0,6,0.7561568411022568,0.7430340557275542,8017,1.0612277949066193e-06
0.0,7,0.7551079054748836,0.7430340557275542,8017,1.0612277949066193e-06
0.0,8,0.7568008061366084,0.7409700722394221,8017,1.0612277949066193e-06
0.0,9,0.7566493836135408,0.7420020639834881,8017,1.0612277949066193e-06
0.0,10,0.7559587034123375,0.7430340557275542,8017,1.0612277949066193e-06
0.0,11,0.754497287022491,0.7420020639834881,8017,1.0612277949066193e-06
0.0,12,0.7552014211891329,0.7420020639834881,8017,1.0612277949066193e-06
0.0,13,0.7536234403999084,0.739938080495356,8017,1.0612277949066193e-06
0.0,14,0.7557697024087116,0.7440660474716202,8017,1.0612277949066193e-06
0.0,15,0.75646713793665,0.7440660474716202,8017,1.0612277949066193e-06
0.0,16,0.7558352833690658,0.7430340557275542,8017,1.0612277949066193e-06
0.0,17,0.7546620290607524,0.7430340557275542,8017,1.0612277949066193e-06
0.0,18,0.7556645592491812,0.7420020639834881,8017,1.0612277949066193e-06
0.0,19,0.7558943307899574,0.7420020639834881,8017,1.0612277949066193e-06
0.0,20,0.7553787528223277,0.7420020639834881,8017,1.0612277949066193e-06
0.0,21,0.7562732151029555,0.7430340557275542,8017,1.0612277949066193e-06
0.0,22,0.7529737814351063,0.7420020639834881,8017,1.0612277949066193e-06
0.0,23,0.7540358687206729,0.7420020639834881,8017,1.0612277949066193e-06
0.0,24,0.7552323487013566,0.739938080495356,8017,1.0612277949066193e-06
0.0,25,0.7552117482243937,0.7420020639834881,8017,1.0612277949066193e-06
