delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7994942823474049,0.7481940144478845,8017,1.0549380654902946e-06
0.0,1,0.800883598713097,0.7481940144478845,8017,1.0549380654902946e-06
0.0,2,0.8002098420761438,0.7481940144478845,8017,1.0549380654902946e-06
0.0,3,0.7981440421412853,0.7512899896800825,8017,1.0549380654902946e-06
0.0,4,0.7996577045730152,0.7502579979360166,8017,1.0549380654902946e-06
0.0,5,0.797983955983511,0.7492260061919505,8017,1.0549380654902946e-06
0.0,6,0.8008358527462341,0.7512899896800825,8017,1.0549380654902946e-06
0.0,7,0.7997835866861501,0.7471620227038184,8017,1.0549380654902946e-06
0.0,8,0.8013669152467764,0.7471620227038184,8017,1.0549380654902946e-06
0.0,9,0.7994924415161578,0.7481940144478845,8017,1.0549380654902946e-06
0.0,10,0.7998187658776637,0.7502579979360166,8017,1.0549380654902946e-06
0.0,11,0.8001889525793229,0.7492260061919505,8017,1.0549380654902946e-06
0.0,12,0.7986227486655108,0.7523219814241486,8017,1.0549380654902946e-06
0.0,13,0.7988486403937326,0.7492260061919505,8017,1.0549380654902946e-06
0.0,14,0.7997324984622898,0.7492260061919505,8017,1.0549380654902946e-06
0.0,15,0.8018321203734451,0.7502579979360166,8017,1.0549380654902946e-06
0.0,16,0.8005666839811206,0.7512899896800825,8017,1.0549380654902946e-06
0.0,17,0.8002174341434909,0.7492260061919505,8017,1.0549380654902946e-06
0.0,18,0.8010182579903151,0.7523219814241486,8017,1.0549380654902946e-06
0.0,19,0.7970161388275178,0.7481940144478845,8017,1.0549380654902946e-06
0.0,20,0.7993390607839161,0.7502579979360166,8017,1.0549380654902946e-06
0.0,21,0.799431554385331,0.7492260061919505,8017,1.0549380654902946e-06
0.0,22,0.8005328117617674,0.7502579979360166,8017,1.0549380654902946e-06
0.0,23,0.798875108943866,0.7502579979360166,8017,1.0549380654902946e-06
0.0,24,0.8002888325227823,0.7471620227038184,8017,1.0549380654902946e-06
0.0,25,0.7993691494090045,0.7502579979360166,8017,1.0549380654902946e-06
0.0,26,0.8003979018200617,0.7492260061919505,8017,1.0549380654902946e-06
0.0,27,0.7996331471018557,0.7492260061919505,8017,1.0549380654902946e-06
0.0,28,0.8000620746445373,0.7502579979360166,8017,1.0549380654902946e-06
0.0,29,0.8003310486398915,0.7523219814241486,8017,1.0549380654902946e-06
0.1,0,0.8012853272022298,0.7523219814241486,7215,2.371484799366157e-05
0.1,1,0.8031342053319648,0.7471620227038184,7215,2.371484799366157e-05
0.1,2,0.8053877792486794,0.7461300309597523,7215,2.371484799366157e-05
0.1,3,0.8125312613112327,0.7481940144478845,7215,2.371484799366157e-05
0.1,4,0.7999682755797843,0.7502579979360166,7215,2.371484799366157e-05
0.1,5,0.8059255203648634,0.7430340557275542,7215,2.371484799366157e-05
0.1,6,0.809724931745482,0.7502579979360166,7215,2.371484799366157e-05
0.1,7,0.7996592213465102,0.7440660474716202,7215,2.371484799366157e-05
0.1,8,0.799495051974773,0.7502579979360166,7215,2.371484799366157e-05
0.1,9,0.7948095984654716,0.7523219814241486,7215,2.371484799366157e-05
0.1,10,0.8039834817395373,0.7502579979360166,7215,2.371484799366157e-05
0.1,11,0.8004022476746284,0.7430340557275542,7215,2.371484799366157e-05
0.1,12,0.7987433188167764,0.7471620227038184,7215,2.371484799366157e-05
0.1,13,0.8096691671589762,0.7450980392156863,7215,2.371484799366157e-05
0.1,14,0.8071579581070767,0.7481940144478845,7215,2.371484799366157e-05
0.1,15,0.8047698130177319,0.7471620227038184,7215,2.371484799366157e-05
0.1,16,0.7976875638632466,0.7543859649122807,7215,2.371484799366157e-05
0.1,17,0.8121941157157478,0.7523219814241486,7215,2.371484799366157e-05
0.1,18,0.8026901082583399,0.7461300309597523,7215,2.371484799366157e-05
0.1,19,0.8015055856987436,0.7502579979360166,7215,2.371484799366157e-05
0.1,20,0.7992224365365654,0.7471620227038184,7215,2.371484799366157e-05
0.1,21,0.7915719470487554,0.7512899896800825,7215,2.371484799366157e-05
0.1,22,0.8010101382519257,0.7492260061919505,7215,2.371484799366157e-05
0.1,23,0.7975557736227472,0.7471620227038184,7215,2.371484799366157e-05
0.1,24,0.8053724398065957,0.7523219814241486,7215,2.371484799366157e-05
0.1,25,0.8007077296173405,0.7502579979360166,7215,2.371484799366157e-05
0.1,26,0.807487984185637,0.7461300309597523,7215,2.371484799366157e-05
0.1,27,0.8022750462634263,0.7543859649122807,7215,2.371484799366157e-05
0.1,28,0.7991319439979937,0.7461300309597523,7215,2.371484799366157e-05
0.1,29,0.80561243332272,0.7461300309597523,7215,2.371484799366157e-05
0.2,0,0.8020526448093731,0.7461300309597523,6415,4.2309969329740834e-05
0.2,1,0.8075622048494029,0.7502579979360166,6415,4.2309969329740834e-05
0.2,2,0.8012240202064327,0.7512899896800825,6415,4.2309969329740834e-05
0.2,3,0.8115107532545885,0.7471620227038184,6415,4.2309969329740834e-05
0.2,4,0.8070683550192536,0.7471620227038184,6415,4.2309969329740834e-05
0.2,5,0.8080627900232957,0.7492260061919505,6415,4.2309969329740834e-05
0.2,6,0.8109006763854246,0.7409700722394221,6415,4.2309969329740834e-05
0.2,7,0.802055484812166,0.7492260061919505,6415,4.2309969329740834e-05
0.2,8,0.8018408699865429,0.7492260061919505,6415,4.2309969329740834e-05
0.2,9,0.7956396897432748,0.7471620227038184,6415,4.2309969329740834e-05
0.2,10,0.7962135558946041,0.7461300309597523,6415,4.2309969329740834e-05
0.2,11,0.8164505192874092,0.7481940144478845,6415,4.2309969329740834e-05
0.2,12,0.8179985919009952,0.7461300309597523,6415,4.2309969329740834e-05
0.2,13,0.803377127703262,0.7481940144478845,6415,4.2309969329740834e-05
0.2,14,0.8118689006602755,0.7420020639834881,6415,4.2309969329740834e-05
0.2,15,0.8037113384032486,0.7512899896800825,6415,4.2309969329740834e-05
0.2,16,0.8157133836276372,0.7492260061919505,6415,4.2309969329740834e-05
0.2,17,0.8001067637157158,0.7502579979360166,6415,4.2309969329740834e-05
0.2,18,0.8083320002882501,0.7471620227038184,6415,4.2309969329740834e-05
0.2,19,0.8019373496483226,0.7440660474716202,6415,4.2309969329740834e-05
0.2,20,0.8007177937888647,0.7481940144478845,6415,4.2309969329740834e-05
0.2,21,0.796177294975625,0.7471620227038184,6415,4.2309969329740834e-05
0.2,22,0.804416084007696,0.7481940144478845,6415,4.2309969329740834e-05
0.2,23,0.7949370445050989,0.7523219814241486,6415,4.2309969329740834e-05
0.2,24,0.8156193946612659,0.7430340557275542,6415,4.2309969329740834e-05
