delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7503485404059832,0.7296181630546955,8016,8.934177450503505e-07
0.0,1,0.7502720043608223,0.7306501547987616,8016,8.934177450503505e-07
0.0,2,0.7496197246619293,0.7296181630546955,8016,8.934177450503505e-07
0.0,3,0.7495807952648323,0.7275541795665634,8016,8.934177450503505e-07
0.0,4,0.7494981335746528,0.7285861713106295,8016,8.934177450503505e-07
0.0,5,0.7480301170455915,0.7285861713106295,8016,8.934177450503505e-07
0.0,6,0.750886699522473,0.7285861713106295,8016,8.934177450503505e-07
0.0,7,0.7499946107997423,0.7285861713106295,8016,8.934177450503505e-07
0.0,8,0.7506441670682943,0.7265221878224974,8016,8.934177450503505e-07
0.0,9,0.7502948887472344,0.7275541795665634,8016,8.934177450503505e-07
0.0,10,0.7495440043835927,0.7296181630546955,8016,8.934177450503505e-07
0.0,11,0.7516837893861441,0.7306501547987616,8016,8.934177450503505e-07
0.0,12,0.7487617362628831,0.7296181630546955,8016,8.934177450503505e-07
0.0,13,0.7507748447850768,0.7296181630546955,8016,8.934177450503505e-07
0.0,14,0.7499608164839396,0.7285861713106295,8016,8.934177450503505e-07
0.0,15,0.7512630145717524,0.7306501547987616,8016,8.934177450503505e-07
0.0,16,0.749376720093284,0.7296181630546955,8016,8.934177450503505e-07
0.0,17,0.7483031667774711,0.7275541795665634,8016,8.934177450503505e-07
0.0,18,0.7493078167174407,0.7296181630546955,8016,8.934177450503505e-07
0.0,19,0.7498967604459849,0.7316821465428277,8016,8.934177450503505e-07
0.0,20,0.7480763257153221,0.7296181630546955,8016,8.934177450503505e-07
0.0,21,0.7517652478074521,0.7296181630546955,8016,8.934177450503505e-07
0.0,22,0.748882371173583,0.7296181630546955,8016,8.934177450503505e-07
0.0,23,0.7504512515111892,0.7296181630546955,8016,8.934177450503505e-07
0.0,24,0.749453856123037,0.7275541795665634,8016,8.934177450503505e-07
0.0,25,0.7508456888536947,0.7285861713106295,8016,8.934177450503505e-07
0.0,26,0.7500663500163871,0.7306501547987616,8016,8.934177450503505e-07
0.0,27,0.7493740143432511,0.7285861713106295,8016,8.934177450503505e-07
0.0,28,0.7498448716143123,0.7285861713106295,8016,8.934177450503505e-07
0.0,29,0.750197026588095,0.7285861713106295,8016,8.934177450503505e-07
0.1,0,0.7531393151867711,0.7275541795665634,7214,2.5185188709159312e-05
0.1,1,0.7679196571026013,0.7275541795665634,7214,2.5185188709159312e-05
0.1,2,0.7581153869863694,0.7296181630546955,7214,2.5185188709159312e-05
0.1,3,0.7526552868231879,0.7244582043343654,7214,2.5185188709159312e-05
0.1,4,0.7545217303963416,0.7306501547987616,7214,2.5185188709159312e-05
0.1,5,0.7517698988153089,0.7275541795665634,7214,2.5185188709159312e-05
0.1,6,0.7558864210681016,0.7203302373581011,7214,2.5185188709159312e-05
0.1,7,0.7526754683496795,0.7296181630546955,7214,2.5185188709159312e-05
0.1,8,0.7560694186341231,0.7306501547987616,7214,2.5185188709159312e-05
0.1,9,0.7548486607115517,0.7316821465428277,7214,2.5185188709159312e-05
0.1,10,0.7477152428861502,0.7213622291021672,7214,2.5185188709159312e-05
0.1,11,0.7569784879055722,0.7327141382868937,7214,2.5185188709159312e-05
0.1,12,0.7518975329359555,0.7254901960784313,7214,2.5185188709159312e-05
0.1,13,0.7575089152668784,0.7223942208462333,7214,2.5185188709159312e-05
0.1,14,0.7548741485471574,0.7254901960784313,7214,2.5185188709159312e-05
0.1,15,0.7486311633647322,0.7254901960784313,7214,2.5185188709159312e-05
0.1,16,0.7455087408936284,0.7265221878224974,7214,2.5185188709159312e-05
0.1,17,0.7598049241217315,0.7213622291021672,7214,2.5185188709159312e-05
0.1,18,0.7577038921610132,0.7254901960784313,7214,2.5185188709159312e-05
0.1,19,0.7533027250633221,0.7275541795665634,7214,2.5185188709159312e-05
0.1,20,0.7665771722551011,0.7254901960784313,7214,2.5185188709159312e-05
0.1,21,0.7613314518506346,0.7192982456140351,7214,2.5185188709159312e-05
0.1,22,0.75467624889907,0.7275541795665634,7214,2.5185188709159312e-05
0.1,23,0.7553267336479623,0.7265221878224974,7214,2.5185188709159312e-05
0.1,24,0.7565301715798686,0.7254901960784313,7214,2.5185188709159312e-05
0.1,25,0.7534763357171985,0.7244582043343654,7214,2.5185188709159312e-05
0.1,26,0.7510287777477722,0.7275541795665634,7214,2.5185188709159312e-05
0.1,27,0.7540232632335327,0.7254901960784313,7214,2.5185188709159312e-05
0.1,28,0.7596737830506816,0.7285861713106295,7214,2.5185188709159312e-05
0.1,29,0.7641400896691177,0.7265221878224974,7214,2.5185188709159312e-05
0.2,0,0.7677013714748367,0.7296181630546955,6412,6.213866552248977e-05
0.2,1,0.7595956297952496,0.7316821465428277,6412,6.213866552248977e-05
0.2,2,0.7747354381509827,0.7285861713106295,6412,6.213866552248977e-05
0.2,3,0.7651218917761445,0.7327141382868937,6412,6.213866552248977e-05
0.2,4,0.7683958005310035,0.7213622291021672,6412,6.213866552248977e-05
0.2,5,0.7662278779417422,0.7306501547987616,6412,6.213866552248977e-05
0.2,6,0.7587397497482524,0.7296181630546955,6412,6.213866552248977e-05
0.2,7,0.7575088540154692,0.7316821465428277,6412,6.213866552248977e-05
0.2,8,0.7481492199676872,0.7275541795665634,6412,6.213866552248977e-05
0.2,9,0.7567864553719225,0.7234262125902993,6412,6.213866552248977e-05
0.2,10,0.7544964307272891,0.7254901960784313,6412,6.213866552248977e-05
0.2,11,0.7526023627649787,0.7337461300309598,6412,6.213866552248977e-05
0.2,12,0.7586510259543207,0.7296181630546955,6412,6.213866552248977e-05
0.2,13,0.757738587381778,0.7223942208462333,6412,6.213866552248977e-05
0.2,14,0.7625125030322538,0.7327141382868937,6412,6.213866552248977e-05
0.2,15,0.7566835911556633,0.7192982456140351,6412,6.213866552248977e-05
0.2,16,0.7484807422109265,0.7296181630546955,6412,6.213866552248977e-05
0.2,17,0.7620374277367757,0.7306501547987616,6412,6.213866552248977e-05
0.2,18,0.7739338356508169,0.7296181630546955,6412,6.213866552248977e-05
0.2,19,0.7589140050996288,0.7254901960784313,6412,6.213866552248977e-05
0.2,20,0.7617801272011183,0.7347781217750258,6412,6.213866552248977e-05
0.2,21,0.7428722281523525,0.7285861713106295,6412,6.213866552248977e-05
0.2,22,0.7631644119638972,0.7254901960784313,6412,6.213866552248977e-05
0.2,23,0.7503988749500284,0.7327141382868937,6412,6.213866552248977e-05
0.2,24,0.7525737190173653,0.7296181630546955,6412,6.213866552248977e-05
0.2,25,0.7507725982504905,0.7337461300309598,6412,6.213866552248977e-05
0.2,26,0.7628382096685598,0.7223942208462333,6412,6.213866552248977e-05
0.2,27,0.7433010840991899,0.7296181630546955,6412,6.213866552248977e-05
0.2,28,0.7527974291345672,0.7285861713106295,6412,6.213866552248977e-05
0.2,29,0.7582212650276111,0.7368421052631579,6412,6.213866552248977e-05
0.3,0,0.7675257620841212,0.7244582043343654,5611,5.414867369406015e-05
0.3,1,0.7503595924833395,0.7316821465428277,5611,5.414867369406015e-05
0.3,2,0.7666600548277275,0.7254901960784313,5611,5.414867369406015e-05
0.3,3,0.7668916973549329,0.718266253869969,5611,5.414867369406015e-05
0.3,4,0.7626357954750917,0.7337461300309598,5611,5.414867369406015e-05
0.3,5,0.7795676825945242,0.7285861713106295,5611,5.414867369406015e-05
0.3,6,0.7582404281574046,0.7296181630546955,5611,5.414867369406015e-05
0.3,7,0.7586663883174004,0.7347781217750258,5611,5.414867369406015e-05
0.3,8,0.7603061017954211,0.7265221878224974,5611,5.414867369406015e-05
0.3,9,0.7643927927908408,0.7244582043343654,5611,5.414867369406015e-05
0.3,10,0.7515043407274741,0.7296181630546955,5611,5.414867369406015e-05
0.3,11,0.7553566024799387,0.7223942208462333,5611,5.414867369406015e-05
0.3,12,0.7718392006680042,0.7254901960784313,5611,5.414867369406015e-05
0.3,13,0.7546392589310589,0.7265221878224974,5611,5.414867369406015e-05
0.3,14,0.7659710249090265,0.7327141382868937,5611,5.414867369406015e-05
0.3,15,0.7564813156439323,0.7244582043343654,5611,5.414867369406015e-05
0.3,16,0.7640957553456148,0.7254901960784313,5611,5.414867369406015e-05
0.3,17,0.7686194396277171,0.7203302373581011,5611,5.414867369406015e-05
0.3,18,0.7680990241024206,0.7234262125902993,5611,5.414867369406015e-05
