delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7579365993194223,0.7440660474716202,8016,2.412136980478745e-06
0.0,1,0.756598538664922,0.7461300309597523,8016,2.412136980478745e-06
0.0,2,0.7574697352194538,0.7450980392156863,8016,2.412136980478745e-06
0.0,3,0.7569307115179866,0.7461300309597523,8016,2.412136980478745e-06
0.0,4,0.7576424143268675,0.7471620227038184,8016,2.412136980478745e-06
0.0,5,0.756672237133875,0.7461300309597523,8016,2.412136980478745e-06
0.0,6,0.7565035057956417,0.7450980392156863,8016,2.412136980478745e-06
0.0,7,0.7587023691279627,0.7450980392156863,8016,2.412136980478745e-06
0.0,8,0.758652281962783,0.7450980392156863,8016,2.412136980478745e-06
0.0,9,0.757757236804766,0.7481940144478845,8016,2.412136980478745e-06
0.0,10,0.7574991802585805,0.7430340557275542,8016,2.412136980478745e-06
0.0,11,0.756569035651829,0.7450980392156863,8016,2.412136980478745e-06
0.0,12,0.757667534858973,0.7440660474716202,8016,2.412136980478745e-06
0.0,13,0.7577498645997308,0.7461300309597523,8016,2.412136980478745e-06
0.0,14,0.7592441960854212,0.7450980392156863,8016,2.412136980478745e-06
0.0,15,0.7550653567474224,0.7409700722394221,8016,2.412136980478745e-06
0.0,16,0.7584240506295473,0.7471620227038184,8016,2.412136980478745e-06
0.0,17,0.7572345312388838,0.7461300309597523,8016,2.412136980478745e-06
0.0,18,0.7575892041174305,0.7440660474716202,8016,2.412136980478745e-06
0.0,19,0.7560438664434003,0.7450980392156863,8016,2.412136980478745e-06
0.0,20,0.7570335127353839,0.7461300309597523,8016,2.412136980478745e-06
0.0,21,0.7559628098827683,0.7430340557275542,8016,2.412136980478745e-06
0.0,22,0.7535074515880195,0.7440660474716202,8016,2.412136980478745e-06
0.0,23,0.7580631463565318,0.7481940144478845,8016,2.412136980478745e-06
0.0,24,0.7571500862863709,0.7471620227038184,8016,2.412136980478745e-06
0.0,25,0.7545024307268925,0.7440660474716202,8016,2.412136980478745e-06
