delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.7477104032822873,0.7430340557275542,8016,1.3233492618746354e-06
0.0,1,0.7469069926088222,0.7450980392156863,8016,1.3233492618746354e-06
0.0,2,0.7478392275362691,0.7450980392156863,8016,1.3233492618746354e-06
0.0,3,0.7469836245432462,0.7450980392156863,8016,1.3233492618746354e-06
0.0,4,0.7465477371181126,0.7440660474716202,8016,1.3233492618746354e-06
0.0,5,0.7484288390358146,0.7450980392156863,8016,1.3233492618746354e-06
0.0,6,0.7477530624354358,0.7461300309597523,8016,1.3233492618746354e-06
0.0,7,0.7494770107744773,0.7450980392156863,8016,1.3233492618746354e-06
0.0,8,0.7473627234331406,0.7461300309597523,8016,1.3233492618746354e-06
0.0,9,0.7474312880292092,0.7440660474716202,8016,1.3233492618746354e-06
0.0,10,0.7477555952432359,0.7450980392156863,8016,1.3233492618746354e-06
0.0,11,0.7475407616698945,0.7461300309597523,8016,1.3233492618746354e-06
0.0,12,0.7503164775032655,0.7430340557275542,8016,1.3233492618746354e-06
0.0,13,0.7471208416302741,0.7450980392156863,8016,1.3233492618746354e-06
0.0,14,0.7498234199976647,0.7430340557275542,8016,1.3233492618746354e-06
0.0,15,0.7447639043135323,0.7450980392156863,8016,1.3233492618746354e-06
0.0,16,0.7468049960718008,0.7461300309597523,8016,1.3233492618746354e-06
0.0,17,0.7481587479148857,0.7450980392156863,8016,1.3233492618746354e-06
0.0,18,0.7486022295715629,0.7450980392156863,8016,1.3233492618746354e-06
0.0,19,0.7467307577690083,0.7450980392156863,8016,1.3233492618746354e-06
0.0,20,0.7491508952478004,0.7440660474716202,8016,1.3233492618746354e-06
0.0,21,0.7485151682471072,0.7450980392156863,8016,1.3233492618746354e-06
0.0,22,0.7471445743310643,0.7440660474716202,8016,1.3233492618746354e-06
0.0,23,0.7485321190402876,0.7450980392156863,8016,1.3233492618746354e-06
0.0,24,0.7474907983206455,0.7440660474716202,8016,1.3233492618746354e-06
0.0,25,0.7489331358519392,0.7450980392156863,8016,1.3233492618746354e-06
0.0,26,0.7495100496702525,0.7461300309597523,8016,1.3233492618746354e-06
0.0,27,0.7472124952654746,0.7461300309597523,8016,1.3233492618746354e-06
0.0,28,0.7484337630930419,0.7471620227038184,8016,1.3233492618746354e-06
0.0,29,0.7470875498305922,0.7440660474716202,8016,1.3233492618746354e-06
0.1,0,0.7511667204264252,0.7471620227038184,7214,1.718666223029723e-05
0.1,1,0.752163947535768,0.7409700722394221,7214,1.718666223029723e-05
0.1,2,0.7548799037118525,0.7481940144478845,7214,1.718666223029723e-05
0.1,3,0.7515352178982286,0.7440660474716202,7214,1.718666223029723e-05
0.1,4,0.7467180284305256,0.7471620227038184,7214,1.718666223029723e-05
0.1,5,0.7510540108056817,0.7430340557275542,7214,1.718666223029723e-05
0.1,6,0.7588820759543533,0.7430340557275542,7214,1.718666223029723e-05
0.1,7,0.7461310831496538,0.7420020639834881,7214,1.718666223029723e-05
0.1,8,0.7461122183097038,0.7461300309597523,7214,1.718666223029723e-05
0.1,9,0.7532716591734114,0.7440660474716202,7214,1.718666223029723e-05
0.1,10,0.7506499310977289,0.7389060887512899,7214,1.718666223029723e-05
0.1,11,0.7503069066044797,0.7430340557275542,7214,1.718666223029723e-05
0.1,12,0.7502965667229363,0.7420020639834881,7214,1.718666223029723e-05
0.1,13,0.7446314490925807,0.7492260061919505,7214,1.718666223029723e-05
0.1,14,0.7568021254295141,0.7461300309597523,7214,1.718666223029723e-05
0.1,15,0.7440151702370996,0.7481940144478845,7214,1.718666223029723e-05
0.1,16,0.756982933216102,0.7471620227038184,7214,1.718666223029723e-05
0.1,17,0.7482535671545657,0.739938080495356,7214,1.718666223029723e-05
0.1,18,0.7534112065419966,0.7430340557275542,7214,1.718666223029723e-05
0.1,19,0.7522966669700321,0.7389060887512899,7214,1.718666223029723e-05
0.1,20,0.7519559379343482,0.739938080495356,7214,1.718666223029723e-05
0.1,21,0.7460800514922015,0.7409700722394221,7214,1.718666223029723e-05
0.1,22,0.7611773816081986,0.7440660474716202,7214,1.718666223029723e-05
0.1,23,0.7555458635654991,0.7461300309597523,7214,1.718666223029723e-05
0.1,24,0.748910961810691,0.7492260061919505,7214,1.718666223029723e-05
0.1,25,0.7483814487346901,0.7512899896800825,7214,1.718666223029723e-05
0.1,26,0.75492624641892,0.7481940144478845,7214,1.718666223029723e-05
0.1,27,0.7520489014854331,0.7461300309597523,7214,1.718666223029723e-05
0.1,28,0.7512658794192935,0.7347781217750258,7214,1.718666223029723e-05
0.1,29,0.7507172975686872,0.7420020639834881,7214,1.718666223029723e-05
0.2,0,0.755061567432193,0.7368421052631579,6412,4.7081272853118584e-05
0.2,1,0.7629164120323226,0.7368421052631579,6412,4.7081272853118584e-05
0.2,2,0.7649898504550539,0.7420020639834881,6412,4.7081272853118584e-05
0.2,3,0.7637603168337702,0.7409700722394221,6412,4.7081272853118584e-05
0.2,4,0.7541848493632878,0.7420020639834881,6412,4.7081272853118584e-05
0.2,5,0.7594615291604051,0.737874097007224,6412,4.7081272853118584e-05
0.2,6,0.754790876408383,0.7358101135190919,6412,4.7081272853118584e-05
0.2,7,0.7402020556904777,0.7533539731682146,6412,4.7081272853118584e-05
0.2,8,0.7622291426150332,0.7430340557275542,6412,4.7081272853118584e-05
0.2,9,0.7476138711234446,0.739938080495356,6412,4.7081272853118584e-05
0.2,10,0.7432431618697639,0.7440660474716202,6412,4.7081272853118584e-05
0.2,11,0.7490520207418888,0.7440660474716202,6412,4.7081272853118584e-05
0.2,12,0.7548953908097644,0.7461300309597523,6412,4.7081272853118584e-05
0.2,13,0.7530412968282114,0.7420020639834881,6412,4.7081272853118584e-05
0.2,14,0.7648134760446244,0.7450980392156863,6412,4.7081272853118584e-05
0.2,15,0.7551980108377033,0.7389060887512899,6412,4.7081272853118584e-05
0.2,16,0.760020002657698,0.7409700722394221,6412,4.7081272853118584e-05
0.2,17,0.7556836162195131,0.737874097007224,6412,4.7081272853118584e-05
0.2,18,0.7576290546854698,0.7471620227038184,6412,4.7081272853118584e-05
0.2,19,0.7490900046559262,0.739938080495356,6412,4.7081272853118584e-05
0.2,20,0.7598907485139328,0.7430340557275542,6412,4.7081272853118584e-05
0.2,21,0.745463624450114,0.7420020639834881,6412,4.7081272853118584e-05
0.2,22,0.7604134252094499,0.7420020639834881,6412,4.7081272853118584e-05
0.2,23,0.7604244611290911,0.7440660474716202,6412,4.7081272853118584e-05
0.2,24,0.7459225716407503,0.7450980392156863,6412,4.7081272853118584e-05
0.2,25,0.7651231540621436,0.7461300309597523,6412,4.7081272853118584e-05
0.2,26,0.7520216592723813,0.7461300309597523,6412,4.7081272853118584e-05
0.2,27,0.7539847432900028,0.7440660474716202,6412,4.7081272853118584e-05
0.2,28,0.7547567519219565,0.7420020639834881,6412,4.7081272853118584e-05
0.2,29,0.7466206977613219,0.7409700722394221,6412,4.7081272853118584e-05
0.3,0,0.7547944440695774,0.7471620227038184,5611,7.6026008094874e-05
0.3,1,0.7540582897054604,0.7461300309597523,5611,7.6026008094874e-05
0.3,2,0.7596857576018003,0.7389060887512899,5611,7.6026008094874e-05
0.3,3,0.7490528774325491,0.7481940144478845,5611,7.6026008094874e-05
0.3,4,0.7525246848822525,0.7389060887512899,5611,7.6026008094874e-05
0.3,5,0.7613706820899884,0.7389060887512899,5611,7.6026008094874e-05
0.3,6,0.7423148032670658,0.7389060887512899,5611,7.6026008094874e-05
0.3,7,0.7563987171887927,0.7420020639834881,5611,7.6026008094874e-05
0.3,8,0.7554142035452575,0.739938080495356,5611,7.6026008094874e-05
0.3,9,0.760597978642138,0.7461300309597523,5611,7.6026008094874e-05
0.3,10,0.7706441331421024,0.7481940144478845,5611,7.6026008094874e-05
0.3,11,0.7383445734353304,0.737874097007224,5611,7.6026008094874e-05
0.3,12,0.7603562663104184,0.7347781217750258,5611,7.6026008094874e-05
0.3,13,0.7487533736896758,0.7430340557275542,5611,7.6026008094874e-05
0.3,14,0.7632825098175351,0.7368421052631579,5611,7.6026008094874e-05
0.3,15,0.7551989037551169,0.7409700722394221,5611,7.6026008094874e-05
0.3,16,0.7697888078323197,0.7389060887512899,5611,7.6026008094874e-05
0.3,17,0.7511005024874602,0.7440660474716202,5611,7.6026008094874e-05
0.3,18,0.7542395833363832,0.7502579979360166,5611,7.6026008094874e-05
0.3,19,0.747865845623939,0.7471620227038184,5611,7.6026008094874e-05
0.3,20,0.7542395423042927,0.7523219814241486,5611,7.6026008094874e-05
0.3,21,0.7740337921704079,0.7368421052631579,5611,7.6026008094874e-05
0.3,22,0.7707066313649161,0.7409700722394221,5611,7.6026008094874e-05
0.3,23,0.7577524293353327,0.7440660474716202,5611,7.6026008094874e-05
0.3,24,0.7724831516540027,0.7440660474716202,5611,7.6026008094874e-05
0.3,25,0.7541329839009704,0.7327141382868937,5611,7.6026008094874e-05
0.3,26,0.7573697601640675,0.7368421052631579,5611,7.6026008094874e-05
0.3,27,0.7464786240023038,0.7420020639834881,5611,7.6026008094874e-05
0.3,28,0.76432988488542,0.7358101135190919,5611,7.6026008094874e-05
0.3,29,0.7597612400537663,0.7450980392156863,5611,7.6026008094874e-05
0.4,0,0.7569410776869171,0.7420020639834881,4809,0.00011336356138123552
0.4,1,0.7629474994485744,0.739938080495356,4809,0.00011336356138123552
0.4,2,0.7630225469021017,0.7430340557275542,4809,0.00011336356138123552
0.4,3,0.7497327626408008,0.739938080495356,4809,0.00011336356138123552
0.4,4,0.7777213524994055,0.7358101135190919,4809,0.00011336356138123552
0.4,5,0.7755092871832953,0.7420020639834881,4809,0.00011336356138123552
0.4,6,0.7525919233038022,0.7481940144478845,4809,0.00011336356138123552
0.4,7,0.7494564870274586,0.7461300309597523,4809,0.00011336356138123552
0.4,8,0.7638970337928576,0.7409700722394221,4809,0.00011336356138123552
0.4,9,0.7555786890392319,0.7420020639834881,4809,0.00011336356138123552
0.4,10,0.7618547056242595,0.7347781217750258,4809,0.00011336356138123552
0.4,11,0.7682723428274005,0.7450980392156863,4809,0.00011336356138123552
0.4,12,0.7939426418299724,0.737874097007224,4809,0.00011336356138123552
0.4,13,0.7578080553634254,0.7430340557275542,4809,0.00011336356138123552
0.4,14,0.769666211660654,0.7409700722394221,4809,0.00011336356138123552
0.4,15,0.7594688073154235,0.739938080495356,4809,0.00011336356138123552
0.4,16,0.7557574634547981,0.7440660474716202,4809,0.00011336356138123552
0.4,17,0.7613866006353434,0.737874097007224,4809,0.00011336356138123552
0.4,18,0.7534333371301654,0.7389060887512899,4809,0.00011336356138123552
0.4,19,0.7773571913229039,0.7409700722394221,4809,0.00011336356138123552
0.4,20,0.7639588659171717,0.7430340557275542,4809,0.00011336356138123552
0.4,21,0.7700771338102013,0.7358101135190919,4809,0.00011336356138123552
0.4,22,0.7619471441849189,0.7358101135190919,4809,0.00011336356138123552
0.4,23,0.7642118396758086,0.7306501547987616,4809,0.00011336356138123552
0.4,24,0.7574017480354415,0.7523219814241486,4809,0.00011336356138123552
