delta,replicate,loss,accuracy,n_train,sigma2
0.0,0,0.9373875483392631,0.6945304437564499,8016,2.5937443743452003e-06
0.0,1,0.9334866811248208,0.6945304437564499,8016,2.5937443743452003e-06
0.0,2,0.9361810332557989,0.6945304437564499,8016,2.5937443743452003e-06
0.0,3,0.9317030662273434,0.6924664602683178,8016,2.5937443743452003e-06
0.0,4,0.9336109869690932,0.6945304437564499,8016,2.5937443743452003e-06
0.0,5,0.9376286168644605,0.6945304437564499,8016,2.5937443743452003e-06
0.0,6,0.9338014040018329,0.6965944272445821,8016,2.5937443743452003e-06
0.0,7,0.9350428315802074,0.695562435500516,8016,2.5937443743452003e-06
0.0,8,0.9352241992689679,0.6965944272445821,8016,2.5937443743452003e-06
0.0,9,0.9338599321243576,0.6945304437564499,8016,2.5937443743452003e-06
0.0,10,0.9361993136647808,0.6934984520123839,8016,2.5937443743452003e-06
0.0,11,0.9370066279643418,0.695562435500516,8016,2.5937443743452003e-06
0.0,12,0.9343829855961021,0.695562435500516,8016,2.5937443743452003e-06
0.0,13,0.9342604686670525,0.6945304437564499,8016,2.5937443743452003e-06
0.0,14,0.9308090447625774,0.6934984520123839,8016,2.5937443743452003e-06
0.0,15,0.9351365900999404,0.695562435500516,8016,2.5937443743452003e-06
0.0,16,0.9358799711117711,0.6945304437564499,8016,2.5937443743452003e-06
0.0,17,0.9358931121777024,0.695562435500516,8016,2.5937443743452003e-06
0.0,18,0.9343680200125977,0.6945304437564499,8016,2.5937443743452003e-06
0.0,19,0.934744877612055,0.6965944272445821,8016,2.5937443743452003e-06
0.0,20,0.935982592983487,0.6945304437564499,8016,2.5937443743452003e-06
0.0,21,0.9355939767180519,0.6945304437564499,8016,2.5937443743452003e-06
0.0,22,0.9335249038390402,0.695562435500516,8016,2.5937443743452003e-06
0.0,23,0.936034388741083,0.695562435500516,8016,2.5937443743452003e-06
0.0,24,0.9334063569984811,0.695562435500516,8016,2.5937443743452003e-06
0.0,25,0.9330186555443065,0.6945304437564499,8016,2.5937443743452003e-06
0.0,26,0.9343198108219058,0.695562435500516,8016,2.5937443743452003e-06
0.0,27,0.9338242528074661,0.695562435500516,8016,2.5937443743452003e-06
0.0,28,0.9321746503037583,0.6945304437564499,8016,2.5937443743452003e-06
0.0,29,0.9351739427219465,0.6965944272445821,8016,2.5937443743452003e-06
0.1,0,0.9386083733679003,0.6924664602683178,7214,1.6450116384926466e-05
0.1,1,0.9359625217762623,0.6965944272445821,7214,1.6450116384926466e-05
0.1,2,0.9393840318661659,0.6945304437564499,7214,1.6450116384926466e-05
0.1,3,0.9465010228251486,0.6976264189886481,7214,1.6450116384926466e-05
0.1,4,0.9413044213407892,0.6965944272445821,7214,1.6450116384926466e-05
0.1,5,0.9402966414548778,0.695562435500516,7214,1.6450116384926466e-05
0.1,6,0.9284010716589038,0.6965944272445821,7214,1.6450116384926466e-05
0.1,7,0.9371373355186169,0.6965944272445821,7214,1.6450116384926466e-05
0.1,8,0.9332024564961268,0.6893704850361198,7214,1.6450116384926466e-05
0.1,9,0.9346845345880603,0.6986584107327142,7214,1.6450116384926466e-05
0.1,10,0.938942982160345,0.6965944272445821,7214,1.6450116384926466e-05
0.1,11,0.9412864088595038,0.6945304437564499,7214,1.6450116384926466e-05
0.1,12,0.9391534152244988,0.6945304437564499,7214,1.6450116384926466e-05
0.1,13,0.9312957816120762,0.6934984520123839,7214,1.6450116384926466e-05
0.1,14,0.933413842753163,0.6924664602683178,7214,1.6450116384926466e-05
0.1,15,0.9410871661496794,0.695562435500516,7214,1.6450116384926466e-05
0.1,16,0.9439703137845545,0.6965944272445821,7214,1.6450116384926466e-05
0.1,17,0.9319930405787434,0.6945304437564499,7214,1.6450116384926466e-05
0.1,18,0.9375104597733493,0.6945304437564499,7214,1.6450116384926466e-05
0.1,19,0.9386402988069894,0.6976264189886481,7214,1.6450116384926466e-05
0.1,20,0.9419820510550919,0.6924664602683178,7214,1.6450116384926466e-05
0.1,21,0.9373418540645981,0.6996904024767802,7214,1.6450116384926466e-05
0.1,22,0.9357789626106774,0.6934984520123839,7214,1.6450116384926466e-05
0.1,23,0.938597730634883,0.6986584107327142,7214,1.6450116384926466e-05
0.1,24,0.9380011089362723,0.695562435500516,7214,1.6450116384926466e-05
0.1,25,0.9340516411774221,0.6965944272445821,7214,1.6450116384926466e-05
0.1,26,0.9354301270129051,0.6945304437564499,7214,1.6450116384926466e-05
0.1,27,0.9380093614236025,0.695562435500516,7214,1.6450116384926466e-05
0.1,28,0.9341262019012048,0.6976264189886481,7214,1.6450116384926466e-05
0.1,29,0.9442209771940208,0.6986584107327142,7214,1.6450116384926466e-05
0.2,0,0.9457246782510965,0.6996904024767802,6412,5.711891859781921e-05
0.2,1,0.933835302712953,0.6986584107327142,6412,5.711891859781921e-05
0.2,2,0.9361937896301834,0.7027863777089783,6412,5.711891859781921e-05
0.2,3,0.9300788823698304,0.6914344685242518,6412,5.711891859781921e-05
0.2,4,0.9422957919495712,0.6945304437564499,6412,5.711891859781921e-05
0.2,5,0.9321428490953617,0.6893704850361198,6412,5.711891859781921e-05
0.2,6,0.9325738326625446,0.6924664602683178,6412,5.711891859781921e-05
0.2,7,0.9494418599098252,0.6934984520123839,6412,5.711891859781921e-05
0.2,8,0.9392934774490668,0.6965944272445821,6412,5.711891859781921e-05
0.2,9,0.9460966168449972,0.695562435500516,6412,5.711891859781921e-05
0.2,10,0.9411456597177201,0.6934984520123839,6412,5.711891859781921e-05
0.2,11,0.9478456586151882,0.6945304437564499,6412,5.711891859781921e-05
0.2,12,0.9632328874273175,0.6965944272445821,6412,5.711891859781921e-05
0.2,13,0.9371846392118501,0.6965944272445821,6412,5.711891859781921e-05
0.2,14,0.9456368718155417,0.6934984520123839,6412,5.711891859781921e-05
0.2,15,0.942444253093778,0.6986584107327142,6412,5.711891859781921e-05
0.2,16,0.93640230964929,0.6976264189886481,6412,5.711891859781921e-05
0.2,17,0.9441274694792509,0.6945304437564499,6412,5.711891859781921e-05
0.2,18,0.9355698751680199,0.6934984520123839,6412,5.711891859781921e-05
0.2,19,0.9434560768591597,0.6924664602683178,6412,5.711891859781921e-05
0.2,20,0.9403137185391824,0.6945304437564499,6412,5.711891859781921e-05
0.2,21,0.9522329302250846,0.6945304437564499,6412,5.711891859781921e-05
0.2,22,0.9508036434958529,0.7017543859649122,6412,5.711891859781921e-05
0.2,23,0.9387208882380431,0.695562435500516,6412,5.711891859781921e-05
0.2,24,0.9327161668558911,0.6965944272445821,6412,5.711891859781921e-05
0.2,25,0.9342402061741742,0.695562435500516,6412,5.711891859781921e-05
0.2,26,0.9516077090528141,0.6924664602683178,6412,5.711891859781921e-05
