label,Accuracy,AUC,Precision,Recall,F1,Log-Loss,Parameters,Train time(min),experiment
adamw,1.0,1.0,1.0,1.0,1.0,0.0,27477250,37.47,Optimizer
sgd,1.0,1.0,1.0,1.0,1.0,0.0025,27477250,36.96,Optimizer
rmsprop,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.3,Optimizer
adam,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.79,Optimizer
0.01,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.6,Learning Rate
0.001,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.62,Learning Rate
0.0003,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.54,Learning Rate
0.0001,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.47,Learning Rate
1e-05,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.67,Learning Rate
8,1.0,1.0,1.0,1.0,1.0,0.0,27477250,35.96,Batch Size
16,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.3,Batch Size
32,1.0,1.0,1.0,1.0,1.0,0.0,27477250,35.74,Batch Size
64,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.49,Batch Size
0.0,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.48,Dropout Rate
0.1,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.3,Dropout Rate
0.2,1.0,1.0,1.0,1.0,1.0,0.0,27477250,39.55,Dropout Rate
0.3,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.83,Dropout Rate
0.5,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.4,Dropout Rate
relu,1.0,1.0,1.0,1.0,1.0,0.0,27477250,38.99,Activation Function
gelu,1.0,1.0,1.0,1.0,1.0,0.0,27477250,39.15,Activation Function
elu,1.0,1.0,1.0,1.0,1.0,0.0,27477250,43.66,Activation Function
tanh,1.0,1.0,1.0,1.0,1.0,0.0,27477250,39.42,Activation Function
cosine,1.0,1.0,1.0,1.0,1.0,0.0,27477250,39.23,LR Scheduler
step,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.58,LR Scheduler
exponential,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.25,LR Scheduler
none,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.28,LR Scheduler
0.0,1.0,1.0,1.0,1.0,1.0,0.0,27477250,36.64,Weight Decay (λ)
1e-05,1.0,1.0,1.0,1.0,1.0,0.0,27477250,37.1,Weight Decay (λ)
0.0001,1.0,1.0,1.0,1.0,1.0,0.0,27477250,37.13,Weight Decay (λ)
0.001,1.0,1.0,1.0,1.0,1.0,0.0,27477250,37.33,Weight Decay (λ)
0.01,1.0,1.0,1.0,1.0,1.0,0.0,27477250,24.96,Weight Decay (λ)
