Backbone,Family,Year,Parameters(M),Test Accuracy,Test AUC,WEAT |d|,H_epistemic,Train time (min)
resnet18,ResNet,2015,11.7,1.0,1.0,1.9574,1e-05,40.54
resnet34,ResNet,2015,21.8,1.0,1.0,1.9258,5e-05,41.29
resnet50,ResNet,2015,25.6,1.0,1.0,1.7786,0.00061,40.89
inception_v3,Inception,2015,27.2,1.0,1.0,1.7651,4e-05,41.62
unet,U-Net,2015,31.0,1.0,1.0,1.9057,4e-05,43.26
unet3d,U-Net,2016,31.0,1.0,1.0,1.9711,6e-05,44.14
residual_unet,U-Net,2017,32.1,1.0,1.0,1.3104,0.00021,44.23
attention_unet,U-Net,2018,34.9,1.0,1.0,1.9857,9e-05,43.27
unet_pp,U-Net,2018,36.6,1.0,1.0,1.8445,1e-05,43.1
inception_v4,Inception,2016,42.7,1.0,1.0,1.1957,2e-05,42.73
resnet101,ResNet,2015,44.5,1.0,1.0,1.8833,0.0,42.33
inception_resnet,Inception,2016,55.9,1.0,1.0,1.9675,0.00021,42.73
resnet152,ResNet,2015,60.2,1.0,1.0,1.628,0.0,43.23
vgg11,VGG,2014,132.9,1.0,1.0,1.9883,0.0,41.9
vgg13,VGG,2014,133.0,1.0,1.0,1.9646,1e-05,42.91
vgg16,VGG,2014,138.4,1.0,1.0,1.8137,1e-05,42.84
vgg19,VGG,2014,143.7,1.0,1.0,1.8108,1e-05,43.53
