delta,replicate,loss,accuracy,n_train,sigma2_delta
0.0,0,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,1,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,2,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,3,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,4,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,5,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,6,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,7,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,8,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,9,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,10,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,11,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,12,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,13,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,14,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,15,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,16,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,17,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,18,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,19,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,20,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,21,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,22,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,23,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,24,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,25,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,26,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,27,9.344863644988362e-06,1.0,1536,3.426760391390992e-37
0.0,28,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.0,29,9.344863644987208e-06,1.0,1536,3.426760391390992e-37
0.1,0,8.015355594721227e-06,1.0,1382,2.689530186068888e-12
0.1,1,1.1623978316254739e-05,1.0,1382,2.689530186068888e-12
0.1,2,6.4362035954303214e-06,1.0,1382,2.689530186068888e-12
0.1,3,8.880638706060447e-06,1.0,1382,2.689530186068888e-12
0.1,4,9.777478148453941e-06,1.0,1382,2.689530186068888e-12
0.1,5,8.761661144189142e-06,1.0,1382,2.689530186068888e-12
