delta,replicate,loss,accuracy,n_train,sigma2_delta
0.0,0,0.10060202518257709,0.9740932642487047,1536,5.5664015015828555e-18
0.0,1,0.10060202880922726,0.9740932642487047,1536,5.5664015015828555e-18
0.0,2,0.10060202155520319,0.9740932642487047,1536,5.5664015015828555e-18
0.0,3,0.10060202534217683,0.9740932642487047,1536,5.5664015015828555e-18
0.0,4,0.10060202469303874,0.9740932642487047,1536,5.5664015015828555e-18
0.0,5,0.10060202515389241,0.9740932642487047,1536,5.5664015015828555e-18
0.0,6,0.10060202875339293,0.9740932642487047,1536,5.5664015015828555e-18
0.0,7,0.10060202507562124,0.9740932642487047,1536,5.5664015015828555e-18
0.0,8,0.10060202843151814,0.9740932642487047,1536,5.5664015015828555e-18
0.0,9,0.10060202504731766,0.9740932642487047,1536,5.5664015015828555e-18
0.0,10,0.10060202534996882,0.9740932642487047,1536,5.5664015015828555e-18
0.0,11,0.10060202519892605,0.9740932642487047,1536,5.5664015015828555e-18
0.0,12,0.10060202893567395,0.9740932642487047,1536,5.5664015015828555e-18
0.0,13,0.10060202542863483,0.9740932642487047,1536,5.5664015015828555e-18
0.0,14,0.1006020255712208,0.9740932642487047,1536,5.5664015015828555e-18
0.0,15,0.10060202907924809,0.9740932642487047,1536,5.5664015015828555e-18
0.0,16,0.10060203220957362,0.9740932642487047,1536,5.5664015015828555e-18
0.0,17,0.10060202512419704,0.9740932642487047,1536,5.5664015015828555e-18
0.0,18,0.1006020215418953,0.9740932642487047,1536,5.5664015015828555e-18
0.0,19,0.10060202523672931,0.9740932642487047,1536,5.5664015015828555e-18
0.0,20,0.10060202942593964,0.9740932642487047,1536,5.5664015015828555e-18
0.0,21,0.10060202530953445,0.9740932642487047,1536,5.5664015015828555e-18
0.0,22,0.10060202844379129,0.9740932642487047,1536,5.5664015015828555e-18
0.0,23,0.10060202515661824,0.9740932642487047,1536,5.5664015015828555e-18
0.0,24,0.10060202892057037,0.9740932642487047,1536,5.5664015015828555e-18
0.0,25,0.1006020286323187,0.9740932642487047,1536,5.5664015015828555e-18
0.0,26,0.10060202523820176,0.9740932642487047,1536,5.5664015015828555e-18
0.0,27,0.10060202518763631,0.9740932642487047,1536,5.5664015015828555e-18
0.0,28,0.10060202522512943,0.9740932642487047,1536,5.5664015015828555e-18
0.0,29,0.10060202477697942,0.9740932642487047,1536,5.5664015015828555e-18
0.1,0,0.094403808554317,0.9740932642487047,1382,3.964588696338763e-05
0.1,1,0.09874803175607699,0.9740932642487047,1382,3.964588696338763e-05
0.1,2,0.09951068536700063,0.9792746113989638,1382,3.964588696338763e-05
0.1,3,0.10460252984373745,0.9689119170984456,1382,3.964588696338763e-05
0.1,4,0.09896845280148812,0.9740932642487047,1382,3.964588696338763e-05
0.1,5,0.09860204669265434,0.9740932642487047,1382,3.964588696338763e-05
0.1,6,0.0953706574056367,0.9792746113989638,1382,3.964588696338763e-05
0.1,7,0.10154625260435858,0.9740932642487047,1382,3.964588696338763e-05
0.1,8,0.09708160362410742,0.9740932642487047,1382,3.964588696338763e-05
0.1,9,0.10166653493274945,0.9792746113989638,1382,3.964588696338763e-05
0.1,10,0.10290665004542682,0.9740932642487047,1382,3.964588696338763e-05
0.1,11,0.09421634008565878,0.9740932642487047,1382,3.964588696338763e-05
0.1,12,0.09346455171288134,0.9792746113989638,1382,3.964588696338763e-05
0.1,13,0.1038919249681661,0.9740932642487047,1382,3.964588696338763e-05
0.1,14,0.11573917581591668,0.9740932642487047,1382,3.964588696338763e-05
0.1,15,0.10470038771385363,0.9740932642487047,1382,3.964588696338763e-05
0.1,16,0.11186978421381306,0.9740932642487047,1382,3.964588696338763e-05
0.1,17,0.09843070528332257,0.9740932642487047,1382,3.964588696338763e-05
0.1,18,0.09556689931594946,0.9740932642487047,1382,3.964588696338763e-05
0.1,19,0.0904289809150205,0.9740932642487047,1382,3.964588696338763e-05
0.1,20,0.10448911501805189,0.9740932642487047,1382,3.964588696338763e-05
0.1,21,0.08717746730912815,0.9792746113989638,1382,3.964588696338763e-05
0.1,22,0.09400732511980403,0.9792746113989638,1382,3.964588696338763e-05
0.1,23,0.09127696239987411,0.9792746113989638,1382,3.964588696338763e-05
0.1,24,0.10170453168442256,0.9740932642487047,1382,3.964588696338763e-05
0.1,25,0.08780176459375877,0.9740932642487047,1382,3.964588696338763e-05
0.1,26,0.09465873056188473,0.9792746113989638,1382,3.964588696338763e-05
0.1,27,0.10067753580334837,0.9792746113989638,1382,3.964588696338763e-05
0.1,28,0.10055892107189233,0.9740932642487047,1382,3.964588696338763e-05
0.1,29,0.09898337597480994,0.9740932642487047,1382,3.964588696338763e-05
0.2,0,0.10307488195237263,0.9740932642487047,1228,0.00019669489542083998
0.2,1,0.12460698167518694,0.9740932642487047,1228,0.00019669489542083998
0.2,2,0.09219054542040046,0.9792746113989638,1228,0.00019669489542083998
0.2,3,0.07185145079406939,0.9792746113989638,1228,0.00019669489542083998
0.2,4,0.10166445457817097,0.9740932642487047,1228,0.00019669489542083998
0.2,5,0.11633913095461806,0.9689119170984456,1228,0.00019669489542083998
0.2,6,0.11172193958177937,0.9740932642487047,1228,0.00019669489542083998
0.2,7,0.0866215386408689,0.9792746113989638,1228,0.00019669489542083998
0.2,8,0.10198407363919985,0.9792746113989638,1228,0.00019669489542083998
0.2,9,0.1120119004439082,0.9689119170984456,1228,0.00019669489542083998
0.2,10,0.09547605022962967,0.9740932642487047,1228,0.00019669489542083998
0.2,11,0.0997937248434311,0.9740932642487047,1228,0.00019669489542083998
0.2,12,0.11184022648178764,0.9689119170984456,1228,0.00019669489542083998
0.2,13,0.11367296267279425,0.9740932642487047,1228,0.00019669489542083998
0.2,14,0.11593113608775332,0.9740932642487047,1228,0.00019669489542083998
0.2,15,0.09161223640799958,0.9740932642487047,1228,0.00019669489542083998
0.2,16,0.08594485543311979,0.9844559585492227,1228,0.00019669489542083998
0.2,17,0.11447464659454273,0.9740932642487047,1228,0.00019669489542083998
0.2,18,0.1350163146420544,0.9689119170984456,1228,0.00019669489542083998
0.2,19,0.11329522981097503,0.9740932642487047,1228,0.00019669489542083998
0.2,20,0.11294490332648481,0.9740932642487047,1228,0.00019669489542083998
0.2,21,0.09867598709118892,0.9792746113989638,1228,0.00019669489542083998
0.2,22,0.08775414093122678,0.9792746113989638,1228,0.00019669489542083998
0.2,23,0.08557148294111515,0.9740932642487047,1228,0.00019669489542083998
0.2,24,0.09461585091071491,0.9792746113989638,1228,0.00019669489542083998
0.2,25,0.1174361814708431,0.9740932642487047,1228,0.00019669489542083998
0.2,26,0.11121532677628206,0.9689119170984456,1228,0.00019669489542083998
0.2,27,0.08307245967475885,0.9792746113989638,1228,0.00019669489542083998
0.2,28,0.1022324339677283,0.9740932642487047,1228,0.00019669489542083998
0.2,29,0.09693170732072329,0.9689119170984456,1228,0.00019669489542083998
0.3,0,0.08586767705799475,0.9792746113989638,1075,0.0003928937294446304
0.3,1,0.15138986650123917,0.9637305699481865,1075,0.0003928937294446304
0.3,2,0.11870630057964045,0.9792746113989638,1075,0.0003928937294446304
0.3,3,0.09996425464347759,0.9740932642487047,1075,0.0003928937294446304
0.3,4,0.08829727888147705,0.9740932642487047,1075,0.0003928937294446304
0.3,5,0.12475442328081487,0.9740932642487047,1075,0.0003928937294446304
0.3,6,0.08593579183931553,0.9792746113989638,1075,0.0003928937294446304
0.3,7,0.11461703947497177,0.9637305699481865,1075,0.0003928937294446304
0.3,8,0.10138400321488533,0.9740932642487047,1075,0.0003928937294446304
0.3,9,0.12133082373530191,0.9740932642487047,1075,0.0003928937294446304
0.3,10,0.08223340055701472,0.9740932642487047,1075,0.0003928937294446304
0.3,11,0.11416815346460614,0.9740932642487047,1075,0.0003928937294446304
0.3,12,0.1304654096521793,0.9740932642487047,1075,0.0003928937294446304
0.3,13,0.11884332316924859,0.9740932642487047,1075,0.0003928937294446304
0.3,14,0.10544317724805705,0.9740932642487047,1075,0.0003928937294446304
0.3,15,0.11722323162784264,0.9792746113989638,1075,0.0003928937294446304
0.3,16,0.09981486621090865,0.9740932642487047,1075,0.0003928937294446304
0.3,17,0.06944390170438633,0.9792746113989638,1075,0.0003928937294446304
0.3,18,0.10388456526445247,0.9792746113989638,1075,0.0003928937294446304
0.3,19,0.12110745775725373,0.9740932642487047,1075,0.0003928937294446304
0.3,20,0.11334480690436144,0.9792746113989638,1075,0.0003928937294446304
0.3,21,0.12567313497492877,0.9740932642487047,1075,0.0003928937294446304
0.3,22,0.12968347491237453,0.9740932642487047,1075,0.0003928937294446304
0.3,23,0.10971253089004734,0.9740932642487047,1075,0.0003928937294446304
0.3,24,0.10903824280416595,0.9740932642487047,1075,0.0003928937294446304
0.3,25,0.09464308922548374,0.9792746113989638,1075,0.0003928937294446304
0.3,26,0.10185921853502557,0.9740932642487047,1075,0.0003928937294446304
0.3,27,0.12370308523162388,0.9585492227979274,1075,0.0003928937294446304
0.3,28,0.11153903669838985,0.9740932642487047,1075,0.0003928937294446304
0.3,29,0.16547191316191115,0.9689119170984456,1075,0.0003928937294446304
0.4,0,0.09658303755339791,0.9792746113989638,921,0.0006575899667571439
0.4,1,0.08634098808954734,0.9844559585492227,921,0.0006575899667571439
0.4,2,0.08740449054237136,0.9792746113989638,921,0.0006575899667571439
0.4,3,0.07839392664982663,0.9792746113989638,921,0.0006575899667571439
0.4,4,0.10312882219276792,0.9792746113989638,921,0.0006575899667571439
0.4,5,0.12809555410092646,0.9740932642487047,921,0.0006575899667571439
0.4,6,0.09384432091910425,0.9740932642487047,921,0.0006575899667571439
0.4,7,0.10590611555742177,0.9689119170984456,921,0.0006575899667571439
0.4,8,0.0661776296078809,0.9844559585492227,921,0.0006575899667571439
0.4,9,0.18301638810718596,0.9637305699481865,921,0.0006575899667571439
0.4,10,0.09107236427512934,0.9740932642487047,921,0.0006575899667571439
0.4,11,0.11341811072181734,0.9792746113989638,921,0.0006575899667571439
0.4,12,0.1296001071682839,0.9689119170984456,921,0.0006575899667571439
0.4,13,0.1573597416580496,0.9689119170984456,921,0.0006575899667571439
0.4,14,0.11881593966934807,0.9792746113989638,921,0.0006575899667571439
0.4,15,0.11541819442269131,0.9792746113989638,921,0.0006575899667571439
